id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.317	1.41e-18	80.1	100	NODE_3_length_523228_cov_82.836504	426544	425939
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	23.789	1.99e-11	63.5	76	NODE_2_length_627120_cov_70.581415	624390	623062
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	23.789	1.99e-11	63.5	76	NODE_2_length_627120_cov_70.581415	624390	623062
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.466	2.02e-27	113	94	NODE_3_length_523228_cov_82.836504	410888	409278
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	24.425	6.71e-09	54.3	78	NODE_3_length_523228_cov_82.836504	135858	134845
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	24.590	1.07e-12	64.3	85	NODE_3_length_523228_cov_82.836504	185748	185101
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.451	5.09e-75	260	80	NODE_3_length_523228_cov_82.836504	501438	503042
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.238	3.60e-52	194	85	NODE_1_length_966763_cov_81.488352	854574	856841
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	47.290	9.03e-156	498	99	NODE_2_length_627120_cov_70.581415	24014	26107
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	47.290	9.03e-156	498	99	NODE_2_length_627120_cov_70.581415	24014	26107
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.241	4.70e-14	72.0	89	NODE_3_length_523228_cov_82.836504	410828	409272
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	48.821	2.24e-175	553	99	NODE_2_length_627120_cov_70.581415	24017	26116
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	48.821	2.24e-175	553	99	NODE_2_length_627120_cov_70.581415	24017	26116
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.964	3.08e-19	85.9	85	NODE_2_length_627120_cov_70.581415	508245	507472
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.964	3.08e-19	85.9	85	NODE_2_length_627120_cov_70.581415	508245	507472
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.964	3.08e-19	85.9	85	NODE_2_length_627120_cov_70.581415	508245	507472
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	49.222	5.47e-164	519	97	NODE_2_length_627120_cov_70.581415	24014	26125
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	49.222	5.47e-164	519	97	NODE_2_length_627120_cov_70.581415	24014	26125
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	25.722	5.56e-78	273	84	NODE_1_length_966763_cov_81.488352	854571	856841
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	32.614	4.85e-46	169	86	NODE_2_length_627120_cov_70.581415	184035	182899
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	42.353	1.10e-113	373	97	NODE_4_length_348922_cov_70.385092	216568	218544
b1xkd9	2.a.27	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b1xkd9|2.a.27.2.1	26.650	1.81e-23	101	84	NODE_3_length_523228_cov_82.836504	198639	199760
b1xkd9	2.a.27	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b1xkd9|2.a.27.2.1	26.650	1.81e-23	101	84	NODE_3_length_523228_cov_82.836504	198639	199760
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	30.886	5.85e-21	92.4	87	NODE_2_length_627120_cov_70.581415	404659	403526
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	31.301	1.06e-18	82.4	88	NODE_4_length_348922_cov_70.385092	53095	52421
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	50.635	4.34e-178	560	99	NODE_2_length_627120_cov_70.581415	24035	26104
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	50.635	4.34e-178	560	99	NODE_2_length_627120_cov_70.581415	24035	26104
b3ecg7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	27.885	5.67e-55	203	87	NODE_2_length_627120_cov_70.581415	24026	26077
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	56.748	3.76e-119	374	97	NODE_2_length_627120_cov_70.581415	432510	431533
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	47.814	1.85e-152	487	99	NODE_2_length_627120_cov_70.581415	24008	26110
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	47.814	1.85e-152	487	99	NODE_2_length_627120_cov_70.581415	24008	26110
b6yqj7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b6yqj7|3.a.10.3.4	30.380	2.37e-55	204	86	NODE_2_length_627120_cov_70.581415	24089	26086
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	34.328	2.23e-19	82.8	100	NODE_1_length_966763_cov_81.488352	685945	686520
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	34.328	2.23e-19	82.8	100	NODE_1_length_966763_cov_81.488352	685945	686520
