id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.952	7.91e-21	86.7	98	scaffold00001	623052	622438
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.033	1.45e-17	83.6	79	scaffold00002	461947	460571
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.033	1.45e-17	83.6	79	scaffold00002	461947	460571
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.670	1.79e-45	163	95	scaffold00007	773	1756
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.670	1.79e-45	163	95	scaffold00007	773	1756
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	38.365	2.70e-36	135	98	scaffold00004	237549	236623
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	31.515	1.05e-27	111	87	scaffold00004	238653	237697
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.289	1.86e-176	547	99	scaffold00004	240225	238723
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	34.103	4.48e-65	222	95	scaffold00005	212723	211566
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.004	9.85e-13	64.3	87	scaffold00003	193091	192408
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.092	8.24e-83	283	80	scaffold00004	211594	213201
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	49.657	2.03e-156	499	99	scaffold00003	108151	106175
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	49.657	2.03e-156	499	99	scaffold00003	108151	106175
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	23.129	4.56e-04	38.5	77	scaffold00002	124736	123909
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	39.695	2.81e-108	352	97	scaffold00003	209138	207591
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	53.058	0.0	579	99	scaffold00003	108160	106187
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	53.058	0.0	579	99	scaffold00003	108160	106187
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	31.667	5.30e-61	213	96	scaffold00005	207567	208988
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.391	4.23e-22	94.4	79	scaffold00003	194850	194053
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.391	4.23e-22	94.4	79	scaffold00003	194850	194053
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.391	4.23e-22	94.4	79	scaffold00003	194850	194053
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	26.592	1.84e-29	120	93	scaffold00002	315896	314436
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	63.934	0.0	702	98	scaffold00003	108184	106175
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	63.934	0.0	702	98	scaffold00003	108184	106175
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	22.154	2.66e-05	43.1	96	scaffold00003	120555	119236
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	22.154	2.66e-05	43.1	96	scaffold00003	120555	119236
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	43.158	4.97e-123	400	98	scaffold00003	108082	106211
