id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.000	9.07e-28	107	95	NODE_31_length_35666_cov_78.662283	25153	24536
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.490	1.27e-14	72.0	89	NODE_31_length_35666_cov_78.662283	23415	22585
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	33.091	8.42e-18	81.3	87	NODE_2_length_169182_cov_93.334585	5103	4288
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	32.589	4.20e-44	164	88	NODE_10_length_85183_cov_90.620332	13463	12180
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	32.589	4.20e-44	164	88	NODE_10_length_85183_cov_90.620332	13463	12180
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.908	1.84e-50	177	81	NODE_1_length_217729_cov_65.152422	80316	79465
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.908	1.84e-50	177	81	NODE_1_length_217729_cov_65.152422	80316	79465
a1rz67	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz67|4.a.6.1.24	33.333	1.49e-07	45.8	84	NODE_14_length_76744_cov_84.355877	40727	40401
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	37.223	1.44e-91	303	98	NODE_14_length_76744_cov_84.355877	15115	13646
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.924	1.57e-22	93.6	90	NODE_13_length_78315_cov_83.503055	44745	45461
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.158	3.62e-35	138	85	NODE_10_length_85183_cov_90.620332	13463	12144
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	38.169	1.27e-85	292	84	NODE_28_length_39250_cov_92.314630	24276	25925
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	26.653	1.46e-34	135	92	NODE_24_length_47541_cov_61.056864	14178	12775
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	28.374	4.36e-16	76.6	77	NODE_14_length_76744_cov_84.355877	12580	11756
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	39.406	4.31e-109	354	96	NODE_14_length_76744_cov_84.355877	15115	13634
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	27.792	2.86e-29	117	85	NODE_78_length_1783_cov_79.035756	156	1328
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	21.414	1.26e-10	61.2	91	NODE_4_length_129258_cov_73.912170	42871	41714
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	49.107	0.0	733	99	NODE_29_length_36259_cov_60.702919	28701	31325
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	48.364	8.68e-77	254	79	NODE_20_length_55438_cov_75.262568	23725	22913
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	48.364	8.68e-77	254	79	NODE_20_length_55438_cov_75.262568	23725	22913
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	48.364	8.68e-77	254	79	NODE_20_length_55438_cov_75.262568	23725	22913
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.893	1.71e-11	60.1	91	NODE_13_length_78315_cov_83.503055	44775	45467
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	28.633	1.63e-42	159	92	NODE_24_length_47541_cov_61.056864	14094	12802
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	26.552	3.27e-45	167	90	NODE_10_length_85183_cov_90.620332	13475	12156
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	28.139	1.01e-48	178	90	NODE_24_length_47541_cov_61.056864	14112	12802
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	29.103	2.48e-36	142	80	NODE_24_length_47541_cov_61.056864	14112	12802
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	24.180	1.53e-10	60.8	90	NODE_10_length_85183_cov_90.620332	13373	12141
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	41.132	0.0	636	84	NODE_1_length_217729_cov_65.152422	72674	75385
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	41.132	0.0	636	84	NODE_1_length_217729_cov_65.152422	72674	75385
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	27.080	7.77e-71	252	76	NODE_6_length_120862_cov_63.219787	913	2841
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	47.337	1.13e-86	281	98	NODE_1_length_217729_cov_65.152422	121030	120026
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	35.626	2.26e-107	360	82	NODE_1_length_217729_cov_65.152422	72872	74932
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	99.580	0.0	959	100	NODE_29_length_36259_cov_60.702919	10936	9509
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	99.359	0.0	599	100	NODE_5_length_128590_cov_87.796838	20531	19596
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	34.328	2.80e-25	100	95	NODE_1_length_217729_cov_65.152422	80319	79729
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	34.328	2.80e-25	100	95	NODE_1_length_217729_cov_65.152422	80319	79729
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	24.734	6.57e-22	96.7	99	NODE_1_length_217729_cov_65.152422	214432	213329
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	24.734	6.57e-22	96.7	99	NODE_1_length_217729_cov_65.152422	214432	213329
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	24.734	6.57e-22	96.7	99	NODE_1_length_217729_cov_65.152422	214432	213329
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	24.734	6.57e-22	96.7	99	NODE_1_length_217729_cov_65.152422	214432	213329
