id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.064	1.04e-22	92.4	99	NODE_2_length_341351_cov_101.128545	300811	301413
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.552	4.67e-46	165	80	NODE_1_length_364839_cov_123.042444	68707	67862
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.552	4.67e-46	165	80	NODE_1_length_364839_cov_123.042444	68707	67862
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	41.433	1.36e-56	194	99	NODE_6_length_136057_cov_103.073423	134165	135124
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	34.058	2.62e-26	107	76	NODE_6_length_136057_cov_103.073423	133236	134048
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.200	1.96e-176	547	98	NODE_6_length_136057_cov_103.073423	131534	133033
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	42.857	3.49e-24	97.1	76	NODE_7_length_132868_cov_147.366553	78396	78893
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	25.847	5.45e-12	62.4	89	NODE_31_length_22423_cov_138.793028	19925	20623
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.917	6.16e-08	52.4	76	NODE_2_length_341351_cov_101.128545	316494	317792
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.917	6.16e-08	52.4	76	NODE_2_length_341351_cov_101.128545	316494	317792
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	30.769	2.18e-31	122	82	NODE_1_length_364839_cov_123.042444	69785	68934
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.982	5.47e-91	308	82	NODE_8_length_130586_cov_84.689117	53201	51606
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.966	9.72e-56	206	86	NODE_21_length_46556_cov_96.209497	31649	29475
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	35.938	3.57e-92	305	97	NODE_6_length_136057_cov_103.073423	131534	133048
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	45.833	0.0	687	96	NODE_6_length_136057_cov_103.073423	121756	119264
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	31.353	4.66e-42	153	83	NODE_1_length_364839_cov_123.042444	68683	67820
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	31.353	4.66e-42	153	83	NODE_1_length_364839_cov_123.042444	68683	67820
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	31.353	4.66e-42	153	83	NODE_1_length_364839_cov_123.042444	68683	67820
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	23.377	3.09e-10	56.2	91	NODE_31_length_22423_cov_138.793028	19958	20647
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	32.696	4.89e-129	431	87	NODE_6_length_136057_cov_103.073423	121831	119177
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	32.696	4.89e-129	431	87	NODE_6_length_136057_cov_103.073423	121831	119177
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.478	1.64e-84	293	88	NODE_21_length_46556_cov_96.209497	31664	29436
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	28.471	1.21e-25	108	87	NODE_19_length_54523_cov_102.622415	34939	36093
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	33.061	1.65e-19	85.1	88	NODE_9_length_126545_cov_114.419063	114208	114882
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	50.301	1.02e-95	307	98	NODE_9_length_126545_cov_114.419063	113012	113995
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	31.461	2.33e-90	310	84	NODE_9_length_126545_cov_114.419063	40359	38359
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	25.157	5.45e-24	99.4	98	NODE_5_length_170249_cov_139.177009	7734	8678
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	32.692	1.11e-23	95.5	97	NODE_1_length_364839_cov_123.042444	68728	68135
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	32.692	1.11e-23	95.5	97	NODE_1_length_364839_cov_123.042444	68728	68135
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	32.450	1.22e-11	58.2	98	NODE_1_length_364839_cov_123.042444	288036	287605
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	47.191	7.77e-21	82.8	84	NODE_12_length_83525_cov_116.691987	31916	32182
c9mz78	4.a.5	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c9mz78|4.a.5.1.6	37.500	3.23e-09	48.9	85	NODE_3_length_280613_cov_117.009660	210169	210402
c9mz78	4.a.5	lactose	EX_cpd00208_e0	rxn10865	gnl|tc-db|c9mz78|4.a.5.1.6	37.500	3.23e-09	48.9	85	NODE_3_length_280613_cov_117.009660	210169	210402
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	27.660	1.72e-14	69.7	87	NODE_10_length_108146_cov_142.182004	1149	1850
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	32.812	4.73e-18	76.3	95	NODE_5_length_170249_cov_139.177009	7722	8102
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	59.939	4.63e-124	389	99	NODE_5_length_170249_cov_139.177009	7725	8693
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	55.598	8.76e-54	184	95	NODE_5_length_170249_cov_139.177009	8764	9540
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	64.194	1.13e-111	352	99	NODE_5_length_170249_cov_139.177009	9572	10480
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	39.944	2.61e-54	191	91	NODE_1_length_364839_cov_123.042444	287187	286150
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	27.841	1.18e-13	65.1	97	NODE_1_length_364839_cov_123.042444	137290	136781
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	25.784	2.69e-22	94.0	91	NODE_35_length_12281_cov_118.689200	8849	7995
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	27.719	6.61e-27	108	83	NODE_35_length_12281_cov_118.689200	9797	8952
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	36.998	7.39e-82	278	76	NODE_8_length_130586_cov_84.689117	22259	20865
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	36.998	7.39e-82	278	76	NODE_8_length_130586_cov_84.689117	22259	20865
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	37.321	5.44e-34	126	86	NODE_31_length_22423_cov_138.793028	19111	19710
d5arg8	2.a.88,3.a.1	biotin		rxn09693	gnl|tc-db|d5arg8|3.a.1.25.7	28.649	2.75e-08	49.7	97	NODE_1_length_364839_cov_123.042444	83144	82626
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	31.088	1.04e-24	99.0	81	NODE_31_length_22423_cov_138.793028	18359	18937
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	35.371	5.76e-35	130	83	NODE_31_length_22423_cov_138.793028	19907	20587
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	32.468	6.02e-38	139	86	NODE_31_length_22423_cov_138.793028	18284	18973
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	23.629	0.015	33.5	87	NODE_31_length_22423_cov_138.793028	19934	20614
e1uci0	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci0|4.a.6.1.15	67.485	4.05e-143	443	99	NODE_5_length_170249_cov_139.177009	7722	8699
e1uci1	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci1|4.a.6.1.15	71.648	2.84e-60	202	96	NODE_5_length_170249_cov_139.177009	8764	9540
e1uci1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci1|4.a.6.1.15	71.648	2.84e-60	202	96	NODE_5_length_170249_cov_139.177009	8764	9540
e1uci2	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci2|4.a.6.1.15	72.453	1.56e-124	389	87	NODE_5_length_170249_cov_139.177009	9566	10360
e1uci2	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci2|4.a.6.1.15	72.453	1.56e-124	389	87	NODE_5_length_170249_cov_139.177009	9566	10360
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	26.190	1.59e-11	57.8	85	NODE_5_length_170249_cov_139.177009	5489	5112
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	42.827	1.76e-91	301	98	NODE_1_length_364839_cov_123.042444	287553	286165
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	32.911	7.49e-31	117	99	NODE_5_length_170249_cov_139.177009	43036	42359
g8rd42	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8rd42|2.a.38.4.6	33.411	3.63e-49	177	91	NODE_11_length_89937_cov_108.668462	40600	39332
g8v089	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8v089|2.a.38.4.6	38.785	9.76e-47	162	96	NODE_11_length_89937_cov_108.668462	39315	38674
gad20700.1	3.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|gad20700.1|3.a.1.103.7	22.222	2.17e-16	75.5	94	NODE_1_length_364839_cov_123.042444	59754	58999
i4g6g7	3.a.3	magnesium		rxn08924,rxn10571	gnl|tc-db|i4g6g7|3.a.3.4.5	27.748	6.02e-72	257	77	NODE_6_length_136057_cov_103.073423	121390	119237
k1m2k1	2.a.3	serine	EX_cpd00054_e0	rxn05307,rxn09246,rxn09247,rxn09714,rxn10185,rxn34404,rxn34405,rxn34530	gnl|tc-db|k1m2k1|2.a.3.8.28	23.977	1.19e-06	47.8	76	NODE_9_length_126545_cov_114.419063	59207	60208
k1m2k1	2.a.3	threonine	EX_cpd00161_e0,EX_cpd00161_e0	rxn05300,rxn09304,rxn09305,rxn09306,rxn09710,rxn10186,rxn12456,rxn13747,rxn34409,rxn34410,rxn34535	gnl|tc-db|k1m2k1|2.a.3.8.28	23.977	1.19e-06	47.8	76	NODE_9_length_126545_cov_114.419063	59207	60208
