id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.952	8.29e-21	86.7	100	scf7180000000006|quiver_dupTrim=3985	62839	63453
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.187	1.47e-17	83.6	79	scf7180000000006|quiver_dupTrim=3985	1483671	1482295
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.187	1.47e-17	83.6	79	scf7180000000006|quiver_dupTrim=3985	1483671	1482295
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.735	3.86e-45	162	95	scf7180000000006|quiver_dupTrim=3985	1615355	1614372
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.735	3.86e-45	162	95	scf7180000000006|quiver_dupTrim=3985	1615355	1614372
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	23.765	8.79e-04	38.1	80	scf7180000000006|quiver_dupTrim=3985	1941494	1942423
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	23.765	8.79e-04	38.1	80	scf7180000000006|quiver_dupTrim=3985	1941494	1942423
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	38.535	2.66e-34	129	98	scf7180000000008|quiver_dupTrim=8492	239327	238401
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	31.818	2.53e-28	113	87	scf7180000000008|quiver_dupTrim=8492	240431	239475
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.289	1.69e-176	547	99	scf7180000000008|quiver_dupTrim=8492	242003	240501
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	34.103	1.74e-65	223	95	scf7180000000006|quiver_dupTrim=3985	773959	775116
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.582	7.39e-13	64.7	87	scf7180000000006|quiver_dupTrim=3985	1862756	1863439
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.270	2.04e-84	288	80	scf7180000000008|quiver_dupTrim=8492	213354	214961
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	49.383	3.94e-156	499	99	scf7180000000006|quiver_dupTrim=3985	1947192	1949168
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	49.383	3.94e-156	499	99	scf7180000000006|quiver_dupTrim=3985	1947192	1949168
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	39.695	2.95e-108	352	97	scf7180000000006|quiver_dupTrim=3985	1846747	1848294
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	53.485	0.0	580	99	scf7180000000006|quiver_dupTrim=3985	1947183	1949156
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	53.485	0.0	580	99	scf7180000000006|quiver_dupTrim=3985	1947183	1949156
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	31.458	6.52e-65	224	96	scf7180000000006|quiver_dupTrim=3985	779108	777687
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	21.943	1.75e-24	107	75	scf7180000000006|quiver_dupTrim=3985	1939558	1941156
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.391	4.82e-22	94.4	79	scf7180000000006|quiver_dupTrim=3985	1860997	1861794
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.391	4.82e-22	94.4	79	scf7180000000006|quiver_dupTrim=3985	1860997	1861794
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.391	4.82e-22	94.4	79	scf7180000000006|quiver_dupTrim=3985	1860997	1861794
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	26.592	1.34e-29	121	93	scf7180000000006|quiver_dupTrim=3985	1335138	1333678
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	63.934	0.0	701	98	scf7180000000006|quiver_dupTrim=3985	1947159	1949168
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	63.934	0.0	701	98	scf7180000000006|quiver_dupTrim=3985	1947159	1949168
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	22.154	2.79e-05	43.1	96	scf7180000000006|quiver_dupTrim=3985	1934792	1936111
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	22.154	2.79e-05	43.1	96	scf7180000000006|quiver_dupTrim=3985	1934792	1936111
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	42.944	1.64e-124	404	98	scf7180000000006|quiver_dupTrim=3985	1947261	1949132
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	32.581	1.55e-56	198	92	scf7180000000006|quiver_dupTrim=3985	773953	775146
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	29.237	2.10e-19	84.3	82	scf7180000000006|quiver_dupTrim=3985	206001	206639
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	55.237	0.0	588	99	scf7180000000006|quiver_dupTrim=3985	1947177	1949147
