id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	26.582	1.01e-29	119	92	SSTI01000002.1 Sphingomonas olei strain NM83_B4-11 NODE_2_length_453135_cov_75.6242, whole genome shotgun sequence	80891	79734
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.032	4.50e-19	82.0	84	SSTI01000017.1 Sphingomonas olei strain NM83_B4-11 NODE_17_length_29452_cov_80.9463, whole genome shotgun sequence	5361	5912
a0l3e7	2.a.51	chromate	EX_cpd11595_e0	rxn05526,rxn13686	gnl|tc-db|a0l3e7|2.a.51.1.4	52.882	3.75e-107	346	87	SSTI01000009.1 Sphingomonas olei strain NM83_B4-11 NODE_9_length_233784_cov_84.9576, whole genome shotgun sequence	44156	45334
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	38.176	4.29e-45	160	98	SSTI01000004.1 Sphingomonas olei strain NM83_B4-11 NODE_4_length_349498_cov_68.9898, whole genome shotgun sequence	327371	326502
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	38.176	4.29e-45	160	98	SSTI01000004.1 Sphingomonas olei strain NM83_B4-11 NODE_4_length_349498_cov_68.9898, whole genome shotgun sequence	327371	326502
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	38.176	4.29e-45	160	98	SSTI01000004.1 Sphingomonas olei strain NM83_B4-11 NODE_4_length_349498_cov_68.9898, whole genome shotgun sequence	327371	326502
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	53.430	1.71e-60	206	86	SSTI01000003.1 Sphingomonas olei strain NM83_B4-11 NODE_3_length_371294_cov_80.3552, whole genome shotgun sequence	150748	149921
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	43.358	1.49e-87	286	96	SSTI01000002.1 Sphingomonas olei strain NM83_B4-11 NODE_2_length_453135_cov_75.6242, whole genome shotgun sequence	80915	79722
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	43.358	1.49e-87	286	96	SSTI01000002.1 Sphingomonas olei strain NM83_B4-11 NODE_2_length_453135_cov_75.6242, whole genome shotgun sequence	80915	79722
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	47.739	1.07e-93	305	93	SSTI01000002.1 Sphingomonas olei strain NM83_B4-11 NODE_2_length_453135_cov_75.6242, whole genome shotgun sequence	80915	79722
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	47.739	1.07e-93	305	93	SSTI01000002.1 Sphingomonas olei strain NM83_B4-11 NODE_2_length_453135_cov_75.6242, whole genome shotgun sequence	80915	79722
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.866	3.53e-22	97.8	96	SSTI01000004.1 Sphingomonas olei strain NM83_B4-11 NODE_4_length_349498_cov_68.9898, whole genome shotgun sequence	245460	246914
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	23.606	7.61e-25	106	98	SSTI01000004.1 Sphingomonas olei strain NM83_B4-11 NODE_4_length_349498_cov_68.9898, whole genome shotgun sequence	245466	246980
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	43.388	1.33e-137	444	96	SSTI01000001.1 Sphingomonas olei strain NM83_B4-11 NODE_1_length_483650_cov_78.1124, whole genome shotgun sequence	292564	294672
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	43.388	1.33e-137	444	96	SSTI01000001.1 Sphingomonas olei strain NM83_B4-11 NODE_1_length_483650_cov_78.1124, whole genome shotgun sequence	292564	294672
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	23.614	9.81e-09	55.1	81	SSTI01000010.1 Sphingomonas olei strain NM83_B4-11 NODE_10_length_151979_cov_70.2915, whole genome shotgun sequence	84922	83702
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	28.087	5.32e-33	130	84	SSTI01000002.1 Sphingomonas olei strain NM83_B4-11 NODE_2_length_453135_cov_75.6242, whole genome shotgun sequence	59912	61030
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	43.247	9.37e-133	430	98	SSTI01000001.1 Sphingomonas olei strain NM83_B4-11 NODE_1_length_483650_cov_78.1124, whole genome shotgun sequence	292534	294672
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	43.247	9.37e-133	430	98	SSTI01000001.1 Sphingomonas olei strain NM83_B4-11 NODE_1_length_483650_cov_78.1124, whole genome shotgun sequence	292534	294672
