id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.684	1.64e-17	77.4	98	NHMP01000002.1 Turicimonas muris strain YL45 NODE_2_length_445785_cov_182.862_ID_5999, whole genome shotgun sequence	235799	236320
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	34.173	2.56e-32	123	92	NHMP01000007.1 Turicimonas muris strain YL45 NODE_7_length_107867_cov_136.54_ID_2421, whole genome shotgun sequence	72656	71829
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	34.173	2.56e-32	123	92	NHMP01000007.1 Turicimonas muris strain YL45 NODE_7_length_107867_cov_136.54_ID_2421, whole genome shotgun sequence	72656	71829
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	34.173	2.56e-32	123	92	NHMP01000007.1 Turicimonas muris strain YL45 NODE_7_length_107867_cov_136.54_ID_2421, whole genome shotgun sequence	72656	71829
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.220	1.64e-46	166	98	NHMP01000002.1 Turicimonas muris strain YL45 NODE_2_length_445785_cov_182.862_ID_5999, whole genome shotgun sequence	124673	125596
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.220	1.64e-46	166	98	NHMP01000002.1 Turicimonas muris strain YL45 NODE_2_length_445785_cov_182.862_ID_5999, whole genome shotgun sequence	124673	125596
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	34.014	8.92e-27	107	91	NHMP01000005.1 Turicimonas muris strain YL45 NODE_5_length_184151_cov_161.611_ID_851, whole genome shotgun sequence	66314	67144
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	39.881	3.86e-104	339	98	NHMP01000005.1 Turicimonas muris strain YL45 NODE_5_length_184151_cov_161.611_ID_851, whole genome shotgun sequence	63706	65166
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	36.395	8.09e-47	167	85	NHMP01000002.1 Turicimonas muris strain YL45 NODE_2_length_445785_cov_182.862_ID_5999, whole genome shotgun sequence	122054	122911
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.042	1.93e-99	332	83	NHMP01000010.1 Turicimonas muris strain YL45 NODE_10_length_86772_cov_154.734_ID_4070, whole genome shotgun sequence	42778	41138
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	21.879	1.85e-38	152	86	NHMP01000002.1 Turicimonas muris strain YL45 NODE_2_length_445785_cov_182.862_ID_5999, whole genome shotgun sequence	403234	405399
a5khl1	2.a.61	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|a5khl1|2.a.61.1.4	36.019	2.24e-55	196	91	NHMP01000004.1 Turicimonas muris strain YL45 NODE_4_length_334904_cov_175.784_ID_5925, whole genome shotgun sequence	199580	200764
a5khl1	2.a.61	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|a5khl1|2.a.61.1.4	36.019	2.24e-55	196	91	NHMP01000004.1 Turicimonas muris strain YL45 NODE_4_length_334904_cov_175.784_ID_5925, whole genome shotgun sequence	199580	200764
a5khl1	2.a.61	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|a5khl1|2.a.61.1.4	36.019	2.24e-55	196	91	NHMP01000004.1 Turicimonas muris strain YL45 NODE_4_length_334904_cov_175.784_ID_5925, whole genome shotgun sequence	199580	200764
a5khl1	2.a.61	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|a5khl1|2.a.61.1.4	36.019	2.24e-55	196	91	NHMP01000004.1 Turicimonas muris strain YL45 NODE_4_length_334904_cov_175.784_ID_5925, whole genome shotgun sequence	199580	200764
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	31.538	5.21e-66	229	95	NHMP01000005.1 Turicimonas muris strain YL45 NODE_5_length_184151_cov_161.611_ID_851, whole genome shotgun sequence	63706	65166
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	23.932	1.33e-05	44.3	92	NHMP01000002.1 Turicimonas muris strain YL45 NODE_2_length_445785_cov_182.862_ID_5999, whole genome shotgun sequence	93576	92260
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	20.911	3.77e-19	89.7	76	NHMP01000008.1 Turicimonas muris strain YL45 NODE_8_length_107171_cov_152.465_ID_941, whole genome shotgun sequence	3851	5473
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	27.636	2.29e-24	101	79	NHMP01000010.1 Turicimonas muris strain YL45 NODE_10_length_86772_cov_154.734_ID_4070, whole genome shotgun sequence	7884	7159
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	27.636	2.29e-24	101	79	NHMP01000010.1 Turicimonas muris strain YL45 NODE_10_length_86772_cov_154.734_ID_4070, whole genome shotgun sequence	7884	7159
