id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.302	4.52e-19	82.4	98	NODE_45_length_36292_cov_11.650421	7718	8317
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	24.055	5.00e-17	79.7	81	NODE_18_length_69146_cov_11.118664	54500	55330
a0q2f5	2.a.25	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a0q2f5|2.a.25.1.8	64.465	2.04e-137	433	98	NODE_71_length_18300_cov_12.304944	13797	12481
a0q2f5	2.a.25	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0q2f5|2.a.25.1.8	64.465	2.04e-137	433	98	NODE_71_length_18300_cov_12.304944	13797	12481
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.134	1.67e-56	196	87	NODE_84_length_12983_cov_9.387029	7527	6637
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.134	1.67e-56	196	87	NODE_84_length_12983_cov_9.387029	7527	6637
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	20.397	1.39e-04	41.2	84	NODE_102_length_6087_cov_8.442596	1257	256
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	20.397	1.39e-04	41.2	84	NODE_102_length_6087_cov_8.442596	1257	256
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	39.809	1.15e-54	189	97	NODE_44_length_37322_cov_12.085918	13136	12240
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	34.756	1.60e-34	132	88	NODE_44_length_37322_cov_12.085918	14211	13258
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.865	9.00e-179	555	99	NODE_44_length_37322_cov_12.085918	15787	14279
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.924	4.46e-19	83.6	91	NODE_1_length_289606_cov_14.005464	244748	244026
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.190	2.44e-18	86.3	78	NODE_3_length_113180_cov_14.240648	7890	6655
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.190	2.44e-18	86.3	78	NODE_3_length_113180_cov_14.240648	7890	6655
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	31.615	1.72e-39	146	84	NODE_77_length_16524_cov_9.613851	8556	7711
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.429	2.81e-92	311	82	NODE_8_length_80818_cov_10.728416	75675	77345
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.841	1.47e-59	218	87	NODE_12_length_74905_cov_12.817034	28133	25941
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	34.314	5.77e-86	288	97	NODE_44_length_37322_cov_12.085918	15787	14279
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	42.353	5.14e-64	215	87	NODE_78_length_14935_cov_15.322251	11699	12451
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	33.216	5.48e-46	163	98	NODE_78_length_14935_cov_15.322251	11702	12535
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	38.542	2.71e-61	207	95	NODE_78_length_14935_cov_15.322251	11699	12535
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	32.862	6.96e-46	162	98	NODE_78_length_14935_cov_15.322251	11702	12535
