id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.861	3.06e-22	97.4	88	NODE_4_length_291112_cov_17.152428	86533	87624
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.733	1.82e-20	86.3	87	NODE_1_length_567128_cov_17.861575	455011	455610
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	36.364	1.01e-80	275	97	NODE_13_length_163737_cov_16.730252	145862	144186
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	36.364	1.01e-80	275	97	NODE_13_length_163737_cov_16.730252	145862	144186
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	27.551	6.84e-30	116	98	NODE_2_length_331861_cov_17.757203	271528	272406
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	27.551	6.84e-30	116	98	NODE_2_length_331861_cov_17.757203	271528	272406
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	27.551	6.84e-30	116	98	NODE_2_length_331861_cov_17.757203	271528	272406
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	34.719	5.25e-52	187	87	NODE_18_length_83136_cov_15.554931	15632	17002
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	34.719	5.25e-52	187	87	NODE_18_length_83136_cov_15.554931	15632	17002
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.897	1.21e-45	164	83	NODE_23_length_68602_cov_15.741525	50052	50936
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.897	1.21e-45	164	83	NODE_23_length_68602_cov_15.741525	50052	50936
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	35.411	5.00e-67	228	98	NODE_8_length_192213_cov_17.115678	1837	3021
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	35.411	5.00e-67	228	98	NODE_8_length_192213_cov_17.115678	1837	3021
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	36.198	1.52e-64	221	92	NODE_8_length_192213_cov_17.115678	1837	2964
