id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	81.658	0.0	634	93	NODE_2_length_561717_cov_40.295137	346835	348028
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.502	4.58e-22	91.3	99	NODE_1_length_738946_cov_37.639936	536403	535801
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	40.678	1.72e-44	159	97	NODE_1_length_738946_cov_37.639936	411163	412041
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	40.678	1.72e-44	159	97	NODE_1_length_738946_cov_37.639936	411163	412041
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	40.678	1.72e-44	159	97	NODE_1_length_738946_cov_37.639936	411163	412041
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	47.727	4.33e-98	322	88	NODE_21_length_41219_cov_33.471975	8106	9422
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	47.727	4.33e-98	322	88	NODE_21_length_41219_cov_33.471975	8106	9422
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	50.699	7.96e-59	201	89	NODE_22_length_40692_cov_37.864484	23975	23118
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.552	3.90e-43	157	79	NODE_1_length_738946_cov_37.639936	584116	584970
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.552	3.90e-43	157	79	NODE_1_length_738946_cov_37.639936	584116	584970
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	53.317	4.85e-122	386	98	NODE_11_length_198942_cov_34.013049	111895	113112
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	53.317	4.85e-122	386	98	NODE_11_length_198942_cov_34.013049	111895	113112
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	55.932	2.33e-126	400	95	NODE_11_length_198942_cov_34.013049	111883	113118
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	55.932	2.33e-126	400	95	NODE_11_length_198942_cov_34.013049	111883	113118
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.645	6.59e-15	75.5	84	NODE_24_length_37372_cov_37.964848	15604	16998
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.195	4.01e-29	120	76	NODE_4_length_328976_cov_34.870474	252729	251512
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	37.429	2.50e-80	277	79	NODE_4_length_328976_cov_34.870474	193173	194693
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.962	7.79e-49	185	87	NODE_11_length_198942_cov_34.013049	100793	102967
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.511	1.98e-11	64.3	82	NODE_21_length_41219_cov_33.471975	8199	9425
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	32.524	6.09e-55	196	77	NODE_21_length_41219_cov_33.471975	8244	9446
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	42.378	2.04e-112	372	97	NODE_2_length_561717_cov_40.295137	494214	492250
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	42.378	2.04e-112	372	97	NODE_2_length_561717_cov_40.295137	494214	492250
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	20.537	3.60e-04	40.8	83	NODE_24_length_37372_cov_37.964848	15535	16962
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	46.921	2.64e-145	467	97	NODE_2_length_561717_cov_40.295137	494214	492250
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	46.921	2.64e-145	467	97	NODE_2_length_561717_cov_40.295137	494214	492250
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	24.131	9.00e-24	102	98	NODE_4_length_328976_cov_34.870474	239057	237561
