id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.064	4.71e-20	85.5	96	SRYA01000003.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_3_length_162872_cov_150.414, whole genome shotgun sequence	87881	88528
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.609	1.24e-13	69.7	92	SRYA01000025.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_25_length_73728_cov_139.734, whole genome shotgun sequence	40307	41314
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.860	1.51e-45	164	80	SRYA01000019.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_19_length_90004_cov_145.842, whole genome shotgun sequence	68251	67412
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.860	1.51e-45	164	80	SRYA01000019.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_19_length_90004_cov_145.842, whole genome shotgun sequence	68251	67412
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	27.526	5.98e-16	76.3	89	SRYA01000111.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_111_length_10077_cov_161.168, whole genome shotgun sequence	6049	6732
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	34.449	2.62e-86	288	99	SRYA01000069.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_69_length_23708_cov_197.309, whole genome shotgun sequence	19987	21489
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	33.770	1.81e-57	201	94	SRYA01000013.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_13_length_110500_cov_125.331, whole genome shotgun sequence	66032	67165
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.350	1.96e-13	67.4	88	SRYA01000028.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_28_length_65555_cov_162.489, whole genome shotgun sequence	4390	3701
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.452	5.40e-89	302	83	SRYA01000073.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_73_length_23391_cov_206.844, whole genome shotgun sequence	14257	12668
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.464	1.35e-52	197	87	SRYA01000011.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_11_length_115353_cov_149.172, whole genome shotgun sequence	39108	36904
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	24.422	4.54e-09	55.8	78	SRYA01000001.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_1_length_254632_cov_152.085, whole genome shotgun sequence	244926	244051
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	40.954	1.52e-112	365	95	SRYA01000069.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_69_length_23708_cov_197.309, whole genome shotgun sequence	20002	21486
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	36.674	2.01e-84	281	97	SRYA01000009.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_9_length_122276_cov_148.63, whole genome shotgun sequence	54749	53358
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	31.496	3.26e-85	297	82	SRYA01000054.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_54_length_32515_cov_161.694, whole genome shotgun sequence	8440	6239
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	33.083	3.74e-40	148	85	SRYA01000019.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_19_length_90004_cov_145.842, whole genome shotgun sequence	68254	67499
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	33.083	3.74e-40	148	85	SRYA01000019.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_19_length_90004_cov_145.842, whole genome shotgun sequence	68254	67499
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	33.083	3.74e-40	148	85	SRYA01000019.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_19_length_90004_cov_145.842, whole genome shotgun sequence	68254	67499
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	23.704	1.67e-10	61.2	79	SRYA01000055.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_55_length_31630_cov_155.498, whole genome shotgun sequence	4146	5222
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	22.986	8.63e-13	68.9	81	SRYA01000055.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_55_length_31630_cov_155.498, whole genome shotgun sequence	4143	5294
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	24.396	3.35e-17	82.8	80	SRYA01000055.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_55_length_31630_cov_155.498, whole genome shotgun sequence	4146	5285
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	25.573	6.42e-32	129	92	SRYA01000049.1 Lachnospiraceae bacterium strain NM01_1-7b NODE_49_length_35508_cov_152.626, whole genome shotgun sequence	24618	26057
