id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.676	8.91e-19	80.9	98	NODE_4_length_91651_cov_224.555147	61610	62266
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.857	5.80e-11	62.4	79	NODE_15_length_54010_cov_168.618267	36338	34965
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.857	5.80e-11	62.4	79	NODE_15_length_54010_cov_168.618267	36338	34965
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.306	2.06e-16	79.3	88	NODE_42_length_20689_cov_180.902241	5724	4267
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.928	8.42e-15	70.9	85	NODE_11_length_57376_cov_160.459450	40532	39885
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	21.928	2.48e-11	63.2	77	NODE_23_length_37304_cov_143.074005	12955	11834
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.390	1.59e-70	247	80	NODE_38_length_22643_cov_191.824249	6931	8601
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.971	3.04e-46	176	76	NODE_8_length_65682_cov_155.808582	10778	12682
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.842	1.41e-10	60.8	91	NODE_54_length_16874_cov_169.732095	15099	16643
a8anm6	2.a.104	l-alanine		rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a8anm6|2.a.104.1.1	22.308	4.1	24.3	87	NODE_18_length_48015_cov_174.523906	34740	34354
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	22.542	1.20e-26	114	75	NODE_12_length_56197_cov_217.569458	18977	17394
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	25.775	3.35e-45	174	75	NODE_1_length_199813_cov_251.143109	53126	55036
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	30.216	5.03e-20	88.6	76	NODE_5_length_89729_cov_275.782515	82738	81938
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	30.216	5.03e-20	88.6	76	NODE_5_length_89729_cov_275.782515	82738	81938
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	30.216	5.03e-20	88.6	76	NODE_5_length_89729_cov_275.782515	82738	81938
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	26.316	9.84e-26	108	92	NODE_23_length_37304_cov_143.074005	13069	11840
