id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.139	1.16e-20	92.0	92	JABKKE010000018.1 Prevotella sp. PROD PROD_18, whole genome shotgun sequence	36838	38025
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.281	3.41e-15	70.9	90	JABKKE010000032.1 Prevotella sp. PROD PROD_32, whole genome shotgun sequence	10581	11108
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	35.506	9.25e-80	272	97	JABKKE010000007.1 Prevotella sp. PROD PROD_7, whole genome shotgun sequence	129710	131383
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	35.506	9.25e-80	272	97	JABKKE010000007.1 Prevotella sp. PROD PROD_7, whole genome shotgun sequence	129710	131383
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	31.970	9.66e-29	113	90	JABKKE010000009.1 Prevotella sp. PROD PROD_9, whole genome shotgun sequence	70236	71027
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	31.970	9.66e-29	113	90	JABKKE010000009.1 Prevotella sp. PROD PROD_9, whole genome shotgun sequence	70236	71027
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	31.970	9.66e-29	113	90	JABKKE010000009.1 Prevotella sp. PROD PROD_9, whole genome shotgun sequence	70236	71027
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	35.491	3.46e-52	188	87	JABKKE010000014.1 Prevotella sp. PROD PROD_14, whole genome shotgun sequence	49769	48405
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	35.491	3.46e-52	188	87	JABKKE010000014.1 Prevotella sp. PROD PROD_14, whole genome shotgun sequence	49769	48405
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	23.920	6.68e-08	51.2	76	JABKKE010000001.1 Prevotella sp. PROD PROD_1, whole genome shotgun sequence	8978	8133
