id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.732	5.69e-25	99.0	98	NODE_25_length_36751_cov_112.892976	2871	2278
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.599	3.07e-10	58.5	88	NODE_14_length_70879_cov_45.962261	55733	54786
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	27.740	4.48e-11	60.5	91	NODE_28_length_31865_cov_132.123097	12922	13791
a0l3e7	2.a.51	chromate	EX_cpd11595_e0	rxn05526,rxn13686	gnl|tc-db|a0l3e7|2.a.51.1.4	27.949	9.51e-20	89.4	85	NODE_2_length_264221_cov_140.697498	159477	158443
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.427	1.13e-22	100	85	NODE_1_length_337710_cov_120.883498	162495	161080
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.427	1.13e-22	100	85	NODE_1_length_337710_cov_120.883498	162495	161080
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	33.096	8.35e-43	153	92	NODE_4_length_225605_cov_109.053882	203241	204080
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	33.096	8.35e-43	153	92	NODE_4_length_225605_cov_109.053882	203241	204080
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	33.096	8.35e-43	153	92	NODE_4_length_225605_cov_109.053882	203241	204080
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	40.088	9.71e-68	233	88	NODE_6_length_111426_cov_129.585798	103073	101775
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	40.088	9.71e-68	233	88	NODE_6_length_111426_cov_129.585798	103073	101775
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.676	2.96e-49	174	80	NODE_29_length_31451_cov_100.104736	7397	8236
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.676	2.96e-49	174	80	NODE_29_length_31451_cov_100.104736	7397	8236
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	33.532	1.04e-86	288	99	NODE_4_length_225605_cov_109.053882	24695	23214
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.869	1.95e-16	75.5	90	NODE_4_length_225605_cov_109.053882	56144	55431
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	28.851	6.88e-30	122	76	NODE_1_length_337710_cov_120.883498	310418	309264
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	40.901	4.55e-120	392	82	NODE_2_length_264221_cov_140.697498	140595	142211
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.886	2.99e-71	252	88	NODE_4_length_225605_cov_109.053882	217870	215729
