id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.962	2.54e-23	95.1	99	NHTR01000008.1 Enterocloster clostridioformis strain YL32 NODE_8_length_321604_cov_78.7366_ID_19629, whole genome shotgun sequence	162038	162661
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	18.730	3.05e-05	43.9	84	NHTR01000008.1 Enterocloster clostridioformis strain YL32 NODE_8_length_321604_cov_78.7366_ID_19629, whole genome shotgun sequence	161057	161992
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	30.968	7.90e-25	103	98	NHTR01000003.1 Enterocloster clostridioformis strain YL32 NODE_3_length_835505_cov_87.5916_ID_23522, whole genome shotgun sequence	41553	40627
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	27.754	1.22e-25	110	79	NHTR01000001.1 Enterocloster clostridioformis strain YL32 NODE_1_length_1846036_cov_77.2334_ID_24359, whole genome shotgun sequence	1217003	1215702
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	27.754	1.22e-25	110	79	NHTR01000001.1 Enterocloster clostridioformis strain YL32 NODE_1_length_1846036_cov_77.2334_ID_24359, whole genome shotgun sequence	1217003	1215702
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	21.399	0.15	31.6	79	NHTR01000012.1 Enterocloster clostridioformis strain YL32 NODE_12_length_227580_cov_65.8193_ID_19888, whole genome shotgun sequence	149466	148753
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	21.399	0.15	31.6	79	NHTR01000012.1 Enterocloster clostridioformis strain YL32 NODE_12_length_227580_cov_65.8193_ID_19888, whole genome shotgun sequence	149466	148753
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	21.399	0.15	31.6	79	NHTR01000012.1 Enterocloster clostridioformis strain YL32 NODE_12_length_227580_cov_65.8193_ID_19888, whole genome shotgun sequence	149466	148753
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.929	1.91e-50	179	77	NHTR01000009.1 Enterocloster clostridioformis strain YL32 NODE_9_length_293790_cov_93.6508_ID_19394, whole genome shotgun sequence	236312	235494
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.929	1.91e-50	179	77	NHTR01000009.1 Enterocloster clostridioformis strain YL32 NODE_9_length_293790_cov_93.6508_ID_19394, whole genome shotgun sequence	236312	235494
