id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.891	2.00e-17	77.0	97	SRYG01000020.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_20_length_52897_cov_1244.512774, whole genome shotgun sequence	18278	17736
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	23.044	8.86e-09	55.1	78	SRYG01000019.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_19_length_61415_cov_1251.785055, whole genome shotgun sequence	47930	46605
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	23.044	8.86e-09	55.1	78	SRYG01000019.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_19_length_61415_cov_1251.785055, whole genome shotgun sequence	47930	46605
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.075	1.07e-46	166	80	SRYG01000001.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_1_length_186998_cov_1313.246348, whole genome shotgun sequence	35472	34633
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.075	1.07e-46	166	80	SRYG01000001.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_1_length_186998_cov_1313.246348, whole genome shotgun sequence	35472	34633
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	20.946	4.75e-10	58.5	78	SRYG01000046.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_46_length_4432_cov_1106.119031, whole genome shotgun sequence	1534	2724
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	46.597	2.13e-96	312	94	SRYG01000026.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_26_length_25824_cov_1199.989988, whole genome shotgun sequence	7814	8959
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.806	8.12e-86	292	82	SRYG01000003.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_3_length_160465_cov_1155.625354, whole genome shotgun sequence	141738	140128
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.476	1.22e-53	199	87	SRYG01000006.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_6_length_111225_cov_1255.435837, whole genome shotgun sequence	90304	92538
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	44.459	5.82e-150	481	99	SRYG01000005.1 Erysipelotrichaceae bacterium strain NM09_H32 NODE_5_length_117233_cov_1363.348228, whole genome shotgun sequence	31156	29123
