id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.068	1.59e-25	99.8	90	NODE_1144_length_1269_cov_57.267951	775	164
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.616	1.24e-44	160	79	NODE_186_length_4738_cov_38.147257	1090	257
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.616	1.24e-44	160	79	NODE_186_length_4738_cov_38.147257	1090	257
a1rz69	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz69|4.a.6.1.24	26.190	3.75e-23	101	76	NODE_34_length_8743_cov_39.994545	2551	1328
a1rz69	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|a1rz69|4.a.6.1.24	26.190	3.75e-23	101	76	NODE_34_length_8743_cov_39.994545	2551	1328
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.311	0.0	559	98	NODE_284_length_3758_cov_40.683283	2062	566
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.596	1.27e-15	73.6	84	NODE_13_length_10107_cov_39.201503	4049	3390
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	29.665	6.67e-24	102	77	NODE_562_length_2477_cov_53.208085	334	1551
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	29.665	6.67e-24	102	77	NODE_562_length_2477_cov_53.208085	334	1551
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.862	2.64e-87	295	82	NODE_246_length_4062_cov_42.539517	1957	3567
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	34.615	9.98e-90	296	98	NODE_284_length_3758_cov_40.683283	2062	527
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	50.536	0.0	785	94	NODE_344_length_3403_cov_40.524725	1	2427
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.348	2.62e-09	53.9	91	NODE_13_length_10107_cov_39.201503	4019	3330
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.820	5.31e-132	425	77	NODE_344_length_3403_cov_40.524725	100	2427
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.820	5.31e-132	425	77	NODE_344_length_3403_cov_40.524725	100	2427
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	49.398	1.06e-93	301	98	NODE_202_length_4547_cov_43.803846	1728	2711
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	30.580	2.63e-84	288	82	NODE_344_length_3403_cov_40.524725	97	2028
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	26.115	8.83e-27	107	98	NODE_20_length_9431_cov_49.185512	1087	1956
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	30.052	1.58e-24	98.2	89	NODE_304_length_3627_cov_52.387429	2747	3313
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	30.052	1.58e-24	98.2	89	NODE_304_length_3627_cov_52.387429	2747	3313
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	39.683	2.40e-26	100	88	NODE_32_length_8855_cov_42.417736	3024	3398
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	41.935	1.42e-16	70.9	85	NODE_207_length_4468_cov_48.119327	1712	1990
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	22.162	0.003	37.0	82	NODE_349_length_3367_cov_36.493827	1078	2076
c6pwg8	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|c6pwg8|4.a.7.1.3	27.295	1.25e-46	169	98	NODE_50_length_7953_cov_50.627268	1515	286
c8x384	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x384|4.a.6.2.2	33.588	4.45e-14	64.7	96	NODE_652_length_2217_cov_52.917703	2108	1716
c8x4s8	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x4s8|4.a.6.2.2	22.772	5.21e-06	43.9	78	NODE_840_length_1723_cov_50.665414	1105	1668
c8x4s8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|c8x4s8|4.a.6.2.2	22.772	5.21e-06	43.9	78	NODE_840_length_1723_cov_50.665414	1105	1668
c9mz78	4.a.5	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c9mz78|4.a.5.1.6	52.564	4.60e-23	88.6	86	NODE_911_length_1584_cov_49.159918	554	787
c9mz78	4.a.5	lactose	EX_cpd00208_e0	rxn10865	gnl|tc-db|c9mz78|4.a.5.1.6	52.564	4.60e-23	88.6	86	NODE_911_length_1584_cov_49.159918	554	787
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	53.719	7.09e-69	223	95	NODE_626_length_2290_cov_44.108645	2288	1563
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	42.963	9.31e-31	112	95	NODE_340_length_3415_cov_49.548358	445	41
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	59.859	1.41e-99	318	86	NODE_174_length_4890_cov_35.956540	4890	4051
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	57.308	4.54e-56	191	95	NODE_174_length_4890_cov_35.956540	3986	3207
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	64.828	1.99e-113	356	93	NODE_174_length_4890_cov_35.956540	3180	2332
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	40.793	1.68e-53	187	90	NODE_561_length_2480_cov_61.711432	1407	2399
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	27.895	1.23e-25	99.8	97	NODE_316_length_3537_cov_50.262463	1308	1877
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	29.032	3.36e-27	108	92	NODE_38_length_8599_cov_37.903093	6473	5643
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	26.718	2.97e-18	83.2	75	NODE_38_length_8599_cov_37.903093	7320	6559
d3r799	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r799|3.a.1.1.53	23.184	9.64e-06	44.7	76	NODE_766_length_1871_cov_44.853211	1782	772
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	37.019	5.48e-35	129	83	NODE_13_length_10107_cov_39.201503	4872	4270
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	27.313	1.26e-23	96.3	94	NODE_13_length_10107_cov_39.201503	5726	5046
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	29.825	1.50e-30	117	83	NODE_13_length_10107_cov_39.201503	4067	3390
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	31.602	2.64e-35	131	86	NODE_13_length_10107_cov_39.201503	5699	5010
e1uci0	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci0|4.a.6.1.15	68.683	1.18e-119	374	85	NODE_174_length_4890_cov_35.956540	4890	4048
e1uci1	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci1|4.a.6.1.15	67.433	5.40e-56	191	96	NODE_174_length_4890_cov_35.956540	3986	3207
e1uci1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci1|4.a.6.1.15	67.433	5.40e-56	191	96	NODE_174_length_4890_cov_35.956540	3986	3207
e1uci2	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci2|4.a.6.1.15	70.722	3.53e-120	375	86	NODE_174_length_4890_cov_35.956540	3180	2392
e1uci2	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci2|4.a.6.1.15	70.722	3.53e-120	375	86	NODE_174_length_4890_cov_35.956540	3180	2392
esq71096.1	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|esq71096.1|4.a.7.1.6	33.846	1.03e-26	102	84	NODE_50_length_7953_cov_50.627268	2330	1941
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	32.624	8.99e-26	98.2	95	NODE_1043_length_1378_cov_48.930456	910	1329
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	46.841	6.98e-99	312	98	NODE_561_length_2480_cov_61.711432	1047	2387
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	32.394	1.54e-29	113	94	NODE_159_length_5143_cov_51.030901	1860	1246
g8rd42	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8rd42|2.a.38.4.6	31.317	5.48e-44	160	98	NODE_736_length_1957_cov_42.181421	202	1563
gad20700.1	3.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|gad20700.1|3.a.1.103.7	22.266	2.78e-11	60.5	94	NODE_484_length_2712_cov_35.798066	1779	1030
h1xum6	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|h1xum6|4.a.6.1.20	25.217	4.8	23.9	89	NODE_698_length_2076_cov_55.381734	225	563
m7pf02	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|m7pf02|4.a.2.1.19	44.469	3.80e-99	313	96	NODE_561_length_2480_cov_61.711432	1047	2381
o30085	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|o30085|3.a.3.5.10	33.019	3.23e-77	266	76	NODE_246_length_4062_cov_42.539517	2080	3651
o30144	3.a.1	molybdate		rxn05619,rxn08955	gnl|tc-db|o30144|3.a.1.6.8	42.453	1.09e-46	162	88	NODE_304_length_3627_cov_52.387429	2804	3436
o30506	3.a.1	arginine	EX_cpd00051_e0	rxn05154,rxn08151,rxn11236	gnl|tc-db|o30506|3.a.1.3.11	50.407	2.79e-63	211	97	NODE_263_length_3933_cov_39.946138	1689	2393
