id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.000	8.27e-26	100	94	NODE_10_length_88955_cov_69.477092	23073	23669
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	31.655	6.08e-33	124	91	NODE_2_length_272639_cov_81.877753	186319	187134
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	31.655	6.08e-33	124	91	NODE_2_length_272639_cov_81.877753	186319	187134
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	31.655	6.08e-33	124	91	NODE_2_length_272639_cov_81.877753	186319	187134
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.527	1.20e-51	181	80	NODE_3_length_223706_cov_85.484365	55648	54806
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.527	1.20e-51	181	80	NODE_3_length_223706_cov_85.484365	55648	54806
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	21.942	1.42e-11	63.2	94	NODE_10_length_88955_cov_69.477092	47988	49535
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	23.963	1.55e-10	59.3	96	NODE_7_length_123613_cov_79.899244	39226	37982
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.862	5.41e-17	76.6	90	NODE_2_length_272639_cov_81.877753	137957	137244
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	23.583	6.96e-06	45.1	78	NODE_2_length_272639_cov_81.877753	158649	157387
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	23.583	6.96e-06	45.1	78	NODE_2_length_272639_cov_81.877753	158649	157387
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	23.060	6.87e-06	45.1	81	NODE_2_length_272639_cov_81.877753	259507	258362
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	23.060	6.87e-06	45.1	81	NODE_2_length_272639_cov_81.877753	259507	258362
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.727	2.75e-86	293	82	NODE_2_length_272639_cov_81.877753	266201	264636
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.669	1.92e-11	63.2	91	NODE_3_length_223706_cov_85.484365	111276	112580
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	24.094	1.89e-36	140	94	NODE_3_length_223706_cov_85.484365	147948	149327
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	34.305	9.38e-142	462	97	NODE_3_length_223706_cov_85.484365	45642	48212
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	22.545	6.32e-11	60.1	77	NODE_1_length_295335_cov_76.888853	114921	114205
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	22.545	6.32e-11	60.1	77	NODE_1_length_295335_cov_76.888853	114921	114205
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	22.545	6.32e-11	60.1	77	NODE_1_length_295335_cov_76.888853	114921	114205
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	23.227	6.10e-12	64.3	83	NODE_3_length_223706_cov_85.484365	44133	45233
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	34.071	1.77e-63	220	96	NODE_3_length_223706_cov_85.484365	82149	83486
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	34.071	1.77e-63	220	96	NODE_3_length_223706_cov_85.484365	82149	83486
