id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	37.037	5.05e-82	273	92	NODE_40_length_71275_cov_12.933804	54688	55890
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.000	3.80e-20	85.9	84	NODE_34_length_81710_cov_13.224052	20637	21185
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	21.429	1.81e-13	69.7	81	NODE_34_length_81710_cov_13.224052	19709	20572
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	32.747	6.48e-48	179	76	NODE_1_length_241593_cov_11.148897	31281	30001
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	32.747	6.48e-48	179	76	NODE_1_length_241593_cov_11.148897	31281	30001
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	29.032	1.25e-23	99.0	93	NODE_48_length_54663_cov_12.183509	37687	38520
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	29.032	1.25e-23	99.0	93	NODE_48_length_54663_cov_12.183509	37687	38520
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	29.032	1.25e-23	99.0	93	NODE_48_length_54663_cov_12.183509	37687	38520
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	36.935	3.70e-58	206	79	NODE_13_length_131973_cov_13.540585	81835	82986
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	36.935	3.70e-58	206	79	NODE_13_length_131973_cov_13.540585	81835	82986
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.959	2.58e-43	158	79	NODE_26_length_98152_cov_11.101178	35356	36189
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.959	2.58e-43	158	79	NODE_26_length_98152_cov_11.101178	35356	36189
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	35.751	3.64e-72	243	97	NODE_41_length_69369_cov_11.950442	56647	57792
