id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	34.286	4.84e-26	102	99	NODE_4_length_462985_cov_223.931154	224172	224786
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	21.713	5.37e-05	41.6	83	NODE_2_length_642394_cov_196.730445	233894	232974
a0l3e7	2.a.51	chromate	EX_cpd11595_e0	rxn05526,rxn13686	gnl|tc-db|a0l3e7|2.a.51.1.4	24.804	3.37e-24	103	82	NODE_4_length_462985_cov_223.931154	56037	57038
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	21.154	9.79e-12	64.7	77	NODE_2_length_642394_cov_196.730445	355658	354360
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	21.154	9.79e-12	64.7	77	NODE_2_length_642394_cov_196.730445	355658	354360
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	27.083	1.10e-30	118	94	NODE_6_length_99361_cov_175.846575	25414	24554
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	27.083	1.10e-30	118	94	NODE_6_length_99361_cov_175.846575	25414	24554
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	27.083	1.10e-30	118	94	NODE_6_length_99361_cov_175.846575	25414	24554
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	34.163	5.91e-51	184	89	NODE_4_length_462985_cov_223.931154	266949	268196
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	34.163	5.91e-51	184	89	NODE_4_length_462985_cov_223.931154	266949	268196
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.312	6.84e-52	182	84	NODE_3_length_633131_cov_188.777022	51352	50432
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.312	6.84e-52	182	84	NODE_3_length_633131_cov_188.777022	51352	50432
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	25.737	5.20e-04	38.9	90	NODE_1_length_720231_cov_154.565670	638130	637102
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	25.737	5.20e-04	38.9	90	NODE_1_length_720231_cov_154.565670	638130	637102
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	34.263	9.90e-90	297	98	NODE_1_length_720231_cov_154.565670	229129	230610
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	40.884	5.54e-17	75.1	94	NODE_2_length_642394_cov_196.730445	80213	79689
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.279	1.80e-16	75.5	90	NODE_2_length_642394_cov_196.730445	28943	28230
