id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	33.333	1.51e-23	94.4	99	scf7180000000002|quiver_dupTrim=6839	1692077	1692625
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	18.530	4.26e-04	38.5	86	scf7180000000002|quiver_dupTrim=6839	182763	183632
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.560	2.59e-43	156	99	scf7180000000002|quiver_dupTrim=6839	462052	462846
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.560	2.59e-43	156	99	scf7180000000002|quiver_dupTrim=6839	462052	462846
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	63.836	6.32e-114	358	100	scf7180000000002|quiver_dupTrim=6839	545028	545981
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	54.969	9.54e-95	305	88	scf7180000000002|quiver_dupTrim=6839	543974	544927
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	74.851	0.0	771	99	scf7180000000002|quiver_dupTrim=6839	542437	543951
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	43.023	1.48e-25	100	77	scf7180000000002|quiver_dupTrim=6839	960211	959702
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	54.688	5.94e-126	397	95	scf7180000000002|quiver_dupTrim=6839	217238	218389
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	46.591	3.65e-26	100	93	scf7180000000002|quiver_dupTrim=6839	1669096	1669608
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.000	2.26e-14	68.9	84	scf7180000000002|quiver_dupTrim=6839	1553390	1554052
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.723	4.05e-89	301	82	scf7180000000002|quiver_dupTrim=6839	1128804	1127293
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	27.470	5.66e-72	254	87	scf7180000000002|quiver_dupTrim=6839	1129383	1127209
