id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	40.295	1.43e-83	277	92	NHMU01000005.1 Bacteroides caecimuris strain I48 NODE_5_length_424270_cov_102.611_ID_8684, whole genome shotgun sequence	126950	125736
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.116	8.04e-21	87.4	99	NHMU01000006.1 Bacteroides caecimuris strain I48 NODE_6_length_351885_cov_110.895_ID_10971, whole genome shotgun sequence	35648	35010
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.263	7.83e-12	63.9	77	NHMU01000006.1 Bacteroides caecimuris strain I48 NODE_6_length_351885_cov_110.895_ID_10971, whole genome shotgun sequence	36555	35767
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	36.976	3.39e-79	271	91	NHMU01000004.1 Bacteroides caecimuris strain I48 NODE_4_length_566447_cov_113.015_ID_10790, whole genome shotgun sequence	182396	184000
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	36.976	3.39e-79	271	91	NHMU01000004.1 Bacteroides caecimuris strain I48 NODE_4_length_566447_cov_113.015_ID_10790, whole genome shotgun sequence	182396	184000
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	34.968	7.76e-57	202	87	NHMU01000008.1 Bacteroides caecimuris strain I48 NODE_8_length_265617_cov_108.866_ID_10416, whole genome shotgun sequence	234289	235632
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	34.968	7.76e-57	202	87	NHMU01000008.1 Bacteroides caecimuris strain I48 NODE_8_length_265617_cov_108.866_ID_10416, whole genome shotgun sequence	234289	235632
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.913	5.38e-45	162	81	NHMU01000009.1 Bacteroides caecimuris strain I48 NODE_9_length_222832_cov_113.643_ID_9447, whole genome shotgun sequence	150319	149471
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.913	5.38e-45	162	81	NHMU01000009.1 Bacteroides caecimuris strain I48 NODE_9_length_222832_cov_113.643_ID_9447, whole genome shotgun sequence	150319	149471
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	33.175	1.76e-49	177	96	NHMU01000005.1 Bacteroides caecimuris strain I48 NODE_5_length_424270_cov_102.611_ID_8684, whole genome shotgun sequence	126974	125742
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	33.175	1.76e-49	177	96	NHMU01000005.1 Bacteroides caecimuris strain I48 NODE_5_length_424270_cov_102.611_ID_8684, whole genome shotgun sequence	126974	125742
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	28.058	3.42e-42	156	93	NHMU01000009.1 Bacteroides caecimuris strain I48 NODE_9_length_222832_cov_113.643_ID_9447, whole genome shotgun sequence	142087	143325
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	28.058	3.42e-42	156	93	NHMU01000009.1 Bacteroides caecimuris strain I48 NODE_9_length_222832_cov_113.643_ID_9447, whole genome shotgun sequence	142087	143325
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.244	3.50e-10	60.1	85	NHMU01000001.1 Bacteroides caecimuris strain I48 NODE_1_length_803037_cov_111.3_ID_7825, whole genome shotgun sequence	77829	79220
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	26.782	6.98e-27	113	84	NHMU01000004.1 Bacteroides caecimuris strain I48 NODE_4_length_566447_cov_113.015_ID_10790, whole genome shotgun sequence	124288	122969
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.099	3.15e-79	273	82	NHMU01000007.1 Bacteroides caecimuris strain I48 NODE_7_length_289415_cov_104.904_ID_6355, whole genome shotgun sequence	223341	221719
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.810	1.05e-59	218	88	NHMU01000010.1 Bacteroides caecimuris strain I48 NODE_10_length_203349_cov_96.3367_ID_5558, whole genome shotgun sequence	194136	191959
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.955	8.68e-06	46.2	79	NHMU01000008.1 Bacteroides caecimuris strain I48 NODE_8_length_265617_cov_108.866_ID_10416, whole genome shotgun sequence	234229	235443
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	27.565	4.00e-39	150	93	NHMU01000005.1 Bacteroides caecimuris strain I48 NODE_5_length_424270_cov_102.611_ID_8684, whole genome shotgun sequence	157246	155819
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	20.583	2.13e-11	64.3	83	NHMU01000001.1 Bacteroides caecimuris strain I48 NODE_1_length_803037_cov_111.3_ID_7825, whole genome shotgun sequence	77832	79220
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	24.242	4.80e-27	112	96	NHMU01000015.1 Bacteroides caecimuris strain I48 NODE_15_length_16140_cov_94.8809_ID_9859, whole genome shotgun sequence	7394	8839
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	25.885	2.39e-31	125	87	NHMU01000004.1 Bacteroides caecimuris strain I48 NODE_4_length_566447_cov_113.015_ID_10790, whole genome shotgun sequence	182426	183763
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	23.031	7.75e-06	46.2	94	NHMU01000004.1 Bacteroides caecimuris strain I48 NODE_4_length_566447_cov_113.015_ID_10790, whole genome shotgun sequence	124333	122963
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	24.324	9.13e-11	60.8	76	NHMU01000006.1 Bacteroides caecimuris strain I48 NODE_6_length_351885_cov_110.895_ID_10971, whole genome shotgun sequence	35612	34779
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	24.324	9.13e-11	60.8	76	NHMU01000006.1 Bacteroides caecimuris strain I48 NODE_6_length_351885_cov_110.895_ID_10971, whole genome shotgun sequence	35612	34779
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	24.324	9.13e-11	60.8	76	NHMU01000006.1 Bacteroides caecimuris strain I48 NODE_6_length_351885_cov_110.895_ID_10971, whole genome shotgun sequence	35612	34779
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	29.191	3.10e-45	167	92	NHMU01000008.1 Bacteroides caecimuris strain I48 NODE_8_length_265617_cov_108.866_ID_10416, whole genome shotgun sequence	234277	235650
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	25.956	3.93e-45	167	90	NHMU01000008.1 Bacteroides caecimuris strain I48 NODE_8_length_265617_cov_108.866_ID_10416, whole genome shotgun sequence	234277	235653
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	29.470	3.23e-48	177	92	NHMU01000008.1 Bacteroides caecimuris strain I48 NODE_8_length_265617_cov_108.866_ID_10416, whole genome shotgun sequence	234232	235650
akm77924	2.a.76	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|akm77924|2.a.76.1.12	27.228	1.33e-08	51.6	92	NHMU01000003.1 Bacteroides caecimuris strain I48 NODE_3_length_603765_cov_109.858_ID_10016, whole genome shotgun sequence	55367	54792
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	27.027	1.36e-30	125	82	NHMU01000005.1 Bacteroides caecimuris strain I48 NODE_5_length_424270_cov_102.611_ID_8684, whole genome shotgun sequence	157171	155786
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	30.832	5.08e-90	315	76	NHMU01000007.1 Bacteroides caecimuris strain I48 NODE_7_length_289415_cov_104.904_ID_6355, whole genome shotgun sequence	238744	241173
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	30.832	5.08e-90	315	76	NHMU01000007.1 Bacteroides caecimuris strain I48 NODE_7_length_289415_cov_104.904_ID_6355, whole genome shotgun sequence	238744	241173
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	27.674	1.11e-82	288	88	NHMU01000010.1 Bacteroides caecimuris strain I48 NODE_10_length_203349_cov_96.3367_ID_5558, whole genome shotgun sequence	194136	191941
b3ee21	2.a.37	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b3ee21|2.a.37.2.5	43.472	2.01e-149	480	88	NHMU01000005.1 Bacteroides caecimuris strain I48 NODE_5_length_424270_cov_102.611_ID_8684, whole genome shotgun sequence	228309	230237
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	47.463	3.61e-99	318	99	NHMU01000002.1 Bacteroides caecimuris strain I48 NODE_2_length_708662_cov_93.8747_ID_2896, whole genome shotgun sequence	477360	478355
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	27.470	9.00e-53	197	83	NHMU01000007.1 Bacteroides caecimuris strain I48 NODE_7_length_289415_cov_104.904_ID_6355, whole genome shotgun sequence	238945	241014
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	35.897	1.78e-26	103	89	NHMU01000009.1 Bacteroides caecimuris strain I48 NODE_9_length_222832_cov_113.643_ID_9447, whole genome shotgun sequence	150307	149735
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	35.897	1.78e-26	103	89	NHMU01000009.1 Bacteroides caecimuris strain I48 NODE_9_length_222832_cov_113.643_ID_9447, whole genome shotgun sequence	150307	149735
