id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.451	2.44e-21	89.0	93	NODE_8_length_276697_cov_69.401688	28800	29399
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	25.000	1.04e-14	72.8	81	NODE_4_length_429754_cov_78.213307	312554	311718
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	29.866	2.71e-21	92.0	92	NODE_2_length_481389_cov_71.656963	366968	366093
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	32.143	9.23e-49	171	100	NODE_6_length_367393_cov_70.461965	201189	202109
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	32.143	9.23e-49	171	100	NODE_6_length_367393_cov_70.461965	201189	202109
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	32.143	9.23e-49	171	100	NODE_6_length_367393_cov_70.461965	201189	202109
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	37.220	1.07e-67	234	88	NODE_5_length_406506_cov_77.988886	238612	239862
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	37.220	1.07e-67	234	88	NODE_5_length_406506_cov_77.988886	238612	239862
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	28.671	3.81e-20	89.4	76	NODE_7_length_277916_cov_80.621216	45749	44937
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	28.671	3.81e-20	89.4	76	NODE_7_length_277916_cov_80.621216	45749	44937
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	22.753	0.021	34.3	88	NODE_3_length_434836_cov_74.113902	242929	243954
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	22.753	0.021	34.3	88	NODE_3_length_434836_cov_74.113902	242929	243954
