id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.979	7.82e-18	77.8	87	NODE_14_length_41868_cov_29.650571	36981	36409
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.536	9.80e-11	61.2	78	NODE_9_length_60052_cov_30.472997	14261	15586
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.536	9.80e-11	61.2	78	NODE_9_length_60052_cov_30.472997	14261	15586
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.627	7.11e-45	161	80	NODE_73_length_7673_cov_25.433518	5856	5014
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.627	7.11e-45	161	80	NODE_73_length_7673_cov_25.433518	5856	5014
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	32.934	3.82e-79	266	98	NODE_17_length_38454_cov_30.574667	3959	5431
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	43.073	1.10e-89	293	97	NODE_5_length_64529_cov_31.166418	23198	24385
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	37.367	1.22e-93	315	81	NODE_22_length_35946_cov_29.474727	21755	23353
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.007	2.31e-49	186	87	NODE_28_length_30136_cov_27.830034	26474	24219
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	50.271	1.01e-138	448	75	NODE_4_length_82623_cov_33.546265	74768	73260
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	50.271	1.01e-138	448	75	NODE_4_length_82623_cov_33.546265	74768	73260
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	41.884	1.78e-121	390	95	NODE_17_length_38454_cov_30.574667	3968	5434
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	48.373	8.00e-169	534	98	NODE_4_length_82623_cov_33.546265	75260	73245
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	48.373	8.00e-169	534	98	NODE_4_length_82623_cov_33.546265	75260	73245
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	29.385	7.38e-41	153	92	NODE_4_length_82623_cov_33.546265	63383	62124
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	41.327	4.82e-176	550	96	NODE_78_length_5241_cov_30.045895	1741	4227
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.368	6.00e-19	85.1	76	NODE_6_length_63259_cov_30.228784	60865	60107
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.368	6.00e-19	85.1	76	NODE_6_length_63259_cov_30.228784	60865	60107
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.368	6.00e-19	85.1	76	NODE_6_length_63259_cov_30.228784	60865	60107
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	24.494	9.66e-29	118	94	NODE_4_length_82623_cov_33.546265	48422	49888
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	55.267	0.0	633	98	NODE_4_length_82623_cov_33.546265	75311	73242
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	55.267	0.0	633	98	NODE_4_length_82623_cov_33.546265	75311	73242
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	44.646	6.31e-128	414	98	NODE_4_length_82623_cov_33.546265	75206	73275
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	35.584	4.24e-36	138	89	NODE_5_length_64529_cov_31.166418	23237	24385
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	49.499	2.09e-172	544	99	NODE_4_length_82623_cov_33.546265	75290	73263
