id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.000	1.37e-19	83.6	99	NODE_2_length_588982_cov_98.771968	282212	282808
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.018	1.47e-48	172	97	NODE_1_length_1270211_cov_99.959861	403686	402688
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.018	1.47e-48	172	97	NODE_1_length_1270211_cov_99.959861	403686	402688
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	42.500	5.42e-58	198	99	NODE_5_length_178648_cov_165.709838	61481	62413
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	36.364	1.08e-40	150	87	NODE_5_length_178648_cov_165.709838	60432	61373
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.773	0.0	573	99	NODE_5_length_178648_cov_165.709838	58862	60394
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	43.529	1.18e-27	107	75	NODE_1_length_1270211_cov_99.959861	590022	589513
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	23.973	9.70e-06	42.4	75	NODE_2_length_588982_cov_98.771968	184953	185372
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.757	1.11e-17	79.3	90	NODE_9_length_57920_cov_220.016421	54268	54981
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.522	1.69e-18	86.7	78	NODE_4_length_304368_cov_174.790995	109060	107795
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.522	1.69e-18	86.7	78	NODE_4_length_304368_cov_174.790995	109060	107795
