id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	38.670	2.20e-89	294	92	NODE_7_length_212268_cov_65.334113	28465	27254
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.116	1.00e-20	87.4	87	NODE_25_length_84807_cov_64.798170	58656	58018
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	36.021	7.74e-81	276	97	NODE_9_length_197604_cov_45.121665	109382	111058
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	36.021	7.74e-81	276	97	NODE_9_length_197604_cov_45.121665	109382	111058
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	27.397	7.25e-24	99.8	98	NODE_12_length_162993_cov_44.166523	111332	110460
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	27.397	7.25e-24	99.8	98	NODE_12_length_162993_cov_44.166523	111332	110460
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	27.397	7.25e-24	99.8	98	NODE_12_length_162993_cov_44.166523	111332	110460
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	37.750	1.15e-59	211	79	NODE_19_length_132107_cov_55.929482	83035	84192
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	37.750	1.15e-59	211	79	NODE_19_length_132107_cov_55.929482	83035	84192
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.913	6.19e-45	162	81	NODE_12_length_162993_cov_44.166523	148726	147878
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.913	6.19e-45	162	81	NODE_12_length_162993_cov_44.166523	148726	147878
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	32.536	1.01e-58	204	97	NODE_7_length_212268_cov_65.334113	28489	27257
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	32.536	1.01e-58	204	97	NODE_7_length_212268_cov_65.334113	28489	27257
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	36.085	8.28e-57	199	94	NODE_7_length_212268_cov_65.334113	47755	49020
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	36.085	8.28e-57	199	94	NODE_7_length_212268_cov_65.334113	47755	49020
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	27.459	2.19e-37	145	96	NODE_12_length_162993_cov_44.166523	38110	36737
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	24.823	3.97e-20	92.4	77	NODE_2_length_423439_cov_47.425084	92222	90966
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	24.823	3.97e-20	92.4	77	NODE_2_length_423439_cov_47.425084	92222	90966
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	26.570	8.92e-25	107	76	NODE_19_length_132107_cov_55.929482	83005	84189
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.979	6.56e-76	264	82	NODE_15_length_152283_cov_58.504134	81126	79504
