id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.126	6.73e-19	81.6	91	SRZB01000043.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_43_length_25964_cov_551.323, whole genome shotgun sequence	308	901
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.624	1.04e-49	176	89	SRZB01000028.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_28_length_43270_cov_441.64, whole genome shotgun sequence	29000	29899
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.624	1.04e-49	176	89	SRZB01000028.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_28_length_43270_cov_441.64, whole genome shotgun sequence	29000	29899
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	33.667	2.92e-82	276	98	SRZB01000004.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_4_length_139864_cov_503.742, whole genome shotgun sequence	26810	28291
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	33.915	1.02e-49	178	98	SRZB01000002.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_2_length_327818_cov_294.26, whole genome shotgun sequence	20979	22160
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.630	2.08e-19	84.7	90	SRZB01000043.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_43_length_25964_cov_551.323, whole genome shotgun sequence	14321	15034
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.667	3.73e-80	276	77	SRZB01000011.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_11_length_86021_cov_312.342, whole genome shotgun sequence	14204	15697
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.216	7.27e-60	218	87	SRZB01000017.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_17_length_70133_cov_291.229, whole genome shotgun sequence	29387	31564
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	25.246	1.21e-11	63.5	76	SRZB01000004.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_4_length_139864_cov_503.742, whole genome shotgun sequence	34225	35097
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	43.313	1.55e-125	402	95	SRZB01000004.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_4_length_139864_cov_503.742, whole genome shotgun sequence	26819	28294
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	46.498	0.0	726	98	SRZB01000077.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_77_length_6433_cov_480.241, whole genome shotgun sequence	3289	5844
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	33.333	9.94e-41	149	77	SRZB01000014.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_14_length_82454_cov_679.707, whole genome shotgun sequence	55296	54526
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	33.333	9.94e-41	149	77	SRZB01000014.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_14_length_82454_cov_679.707, whole genome shotgun sequence	55296	54526
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	33.333	9.94e-41	149	77	SRZB01000014.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_14_length_82454_cov_679.707, whole genome shotgun sequence	55296	54526
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.783	8.87e-10	55.1	91	SRZB01000043.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_43_length_25964_cov_551.323, whole genome shotgun sequence	14351	15040
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	31.609	9.15e-113	382	82	SRZB01000077.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_77_length_6433_cov_480.241, whole genome shotgun sequence	3328	5838
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	31.609	9.15e-113	382	82	SRZB01000077.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_77_length_6433_cov_480.241, whole genome shotgun sequence	3328	5838
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.437	8.87e-80	279	86	SRZB01000017.1 Lachnospiraceae bacterium strain NM72_1-8 NODE_17_length_70133_cov_291.229, whole genome shotgun sequence	29387	31570
