id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.612	5.70e-25	99.8	99	NODE_4_length_319692_cov_36.157581	217847	217236
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	28.065	9.81e-13	66.6	97	NODE_31_length_67678_cov_36.766527	6653	5736
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.270	8.69e-16	79.3	88	NODE_17_length_130595_cov_42.018043	112995	114494
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.270	8.69e-16	79.3	88	NODE_17_length_130595_cov_42.018043	112995	114494
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.100	3.89e-50	177	80	NODE_8_length_175135_cov_37.920501	49590	50441
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.100	3.89e-50	177	80	NODE_8_length_175135_cov_37.920501	49590	50441
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	44.479	1.65e-59	203	99	NODE_39_length_46146_cov_39.518830	42684	43631
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	36.594	1.86e-28	115	75	NODE_39_length_46146_cov_39.518830	41776	42579
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.200	0.0	565	98	NODE_39_length_46146_cov_39.518830	40076	41575
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	49.062	5.27e-102	330	93	NODE_5_length_307969_cov_32.116343	242902	244020
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.645	1.40e-18	82.8	91	NODE_9_length_171921_cov_33.731029	26684	25968
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	31.559	4.17e-30	119	75	NODE_46_length_32408_cov_44.463487	29770	30525
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.175	1.27e-83	287	78	NODE_28_length_77233_cov_34.830305	24071	25633
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.674	2.53e-43	168	87	NODE_28_length_77233_cov_34.830305	23426	25681
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	48.611	2.72e-154	494	98	NODE_10_length_168057_cov_36.395005	120118	118184
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	48.611	2.72e-154	494	98	NODE_10_length_168057_cov_36.395005	120118	118184
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	26.059	3.36e-09	56.2	78	NODE_20_length_102823_cov_38.894906	75163	76038
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	38.521	4.57e-112	364	97	NODE_13_length_153025_cov_37.412212	93522	92014
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	22.449	1.6	28.1	78	NODE_19_length_106378_cov_34.272584	41182	40514
