id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.402	4.20e-23	92.8	97	NODE_2_length_397231_cov_23.021453	347500	346994
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	31.166	1.08e-47	174	88	NODE_3_length_387557_cov_24.735767	171412	172671
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	31.166	1.08e-47	174	88	NODE_3_length_387557_cov_24.735767	171412	172671
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.196	5.89e-48	169	87	NODE_5_length_117662_cov_39.002262	67403	68356
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.196	5.89e-48	169	87	NODE_5_length_117662_cov_39.002262	67403	68356
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.105	5.85e-16	77.4	97	NODE_3_length_387557_cov_24.735767	116818	115241
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	50.000	4.42e-42	146	94	NODE_3_length_387557_cov_24.735767	104148	103615
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.862	1.99e-20	86.7	87	NODE_4_length_291421_cov_20.407069	125047	125730
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.202	1.71e-16	79.3	76	NODE_4_length_291421_cov_20.407069	74684	75910
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.202	1.71e-16	79.3	76	NODE_4_length_291421_cov_20.407069	74684	75910
