id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.217	1.63e-21	89.7	100	NODE_1_length_1628632_cov_60.282314	551336	551896
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	34.722	5.73e-43	155	96	NODE_10_length_194444_cov_60.284463	37946	38800
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	34.722	5.73e-43	155	96	NODE_10_length_194444_cov_60.284463	37946	38800
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	34.722	5.73e-43	155	96	NODE_10_length_194444_cov_60.284463	37946	38800
a0ri83	3.a.1	acetoin		rxn05489,rxn05490,rxn11048	gnl|tc-db|a0ri83|3.a.1.153.2	40.997	8.97e-67	227	97	NODE_1_length_1628632_cov_60.282314	727817	726771
a0ri83.2	3.a.1	acetoin		rxn05489,rxn05490,rxn11048	gnl|tc-db|a0ri83.2|3.a.1.153.2	40.997	8.97e-67	227	97	NODE_1_length_1628632_cov_60.282314	727817	726771
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.025	4.44e-47	169	90	NODE_12_length_179807_cov_60.894485	38848	39696
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.025	4.44e-47	169	90	NODE_12_length_179807_cov_60.894485	38848	39696
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	51.887	3.96e-88	286	100	NODE_1_length_1628632_cov_60.282314	1054032	1054985
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	43.344	2.15e-68	231	88	NODE_1_length_1628632_cov_60.282314	1052988	1053935
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	64.215	0.0	639	99	NODE_1_length_1628632_cov_60.282314	1051451	1052959
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.645	4.61e-18	81.3	91	NODE_20_length_58605_cov_57.692842	50399	51118
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	32.081	1.23e-46	167	98	NODE_12_length_179807_cov_60.894485	37779	38789
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	37.024	4.36e-105	350	84	NODE_8_length_210588_cov_69.654216	65261	66928
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	27.295	4.54e-68	244	96	NODE_1_length_1628632_cov_60.282314	1117725	1120091
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.169	6.25e-14	72.8	77	NODE_14_length_139058_cov_71.862738	84859	85830
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	41.833	3.45e-123	396	95	NODE_9_length_201311_cov_67.551485	61656	60187
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	39.085	1.40e-65	220	95	NODE_17_length_113884_cov_100.883814	35210	36055
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	32.292	1.38e-45	162	95	NODE_17_length_113884_cov_100.883814	35219	36070
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	38.732	7.34e-65	218	95	NODE_17_length_113884_cov_100.883814	35210	36055
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	31.944	9.03e-46	163	95	NODE_17_length_113884_cov_100.883814	35219	36070
a6x7e7	2.a.1	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|a6x7e7|2.a.1.81.5	29.058	4.62e-21	93.6	91	NODE_10_length_194444_cov_60.284463	99835	100968
