id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.285	1.09e-17	77.0	92	NODE_2_length_297936_cov_54.711142	70471	69968
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.266	2.55e-18	84.7	81	NODE_6_length_118137_cov_52.787489	109841	111082
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	27.301	3.48e-28	113	78	NODE_1_length_475860_cov_74.251346	302011	302982
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.896	7.84e-88	298	82	NODE_8_length_82720_cov_50.464068	24162	22546
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.613	3.92e-58	212	86	NODE_3_length_236490_cov_50.923722	75769	78012
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.172	1.17e-17	82.8	91	NODE_6_length_118137_cov_52.787489	109772	111217
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	24.510	7.60e-10	56.6	86	NODE_4_length_184267_cov_51.118079	27445	26648
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	24.510	7.60e-10	56.6	86	NODE_4_length_184267_cov_51.118079	27445	26648
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	24.510	7.60e-10	56.6	86	NODE_4_length_184267_cov_51.118079	27445	26648
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	22.467	4.42e-04	37.0	90	NODE_2_length_297936_cov_54.711142	85028	85705
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	26.807	4.97e-79	276	84	NODE_3_length_236490_cov_50.923722	75790	78015
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	34.085	9.71e-49	176	82	NODE_9_length_81827_cov_67.621713	42329	41241
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	28.250	6.87e-25	103	90	NODE_1_length_475860_cov_74.251346	301822	303009
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	34.127	3.93e-23	95.1	87	NODE_6_length_118137_cov_52.787489	103636	104319
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	55.692	4.30e-117	368	97	NODE_3_length_236490_cov_50.923722	95657	96631
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	32.394	2.22e-16	73.6	91	NODE_5_length_169996_cov_67.907809	818	201
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	32.394	2.22e-16	73.6	91	NODE_5_length_169996_cov_67.907809	818	201
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	22.727	4.31e-19	87.0	83	NODE_5_length_169996_cov_67.907809	36059	34848
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	22.727	4.31e-19	87.0	83	NODE_5_length_169996_cov_67.907809	36059	34848
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	22.727	4.31e-19	87.0	83	NODE_5_length_169996_cov_67.907809	36059	34848
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	22.727	4.31e-19	87.0	83	NODE_5_length_169996_cov_67.907809	36059	34848
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	28.947	3.0	20.8	88	NODE_4_length_184267_cov_51.118079	3078	3191
c8u8g2	2.a.3	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|c8u8g2|2.a.3.7.3	48.434	1.63e-107	348	92	NODE_3_length_236490_cov_50.923722	26736	28157
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	34.805	4.48e-39	145	96	NODE_2_length_297936_cov_54.711142	264804	263680
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	28.652	2.32e-13	63.5	98	NODE_2_length_297936_cov_54.711142	82749	83261
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	33.902	6.40e-77	263	84	NODE_1_length_475860_cov_74.251346	254770	253229
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	33.902	6.40e-77	263	84	NODE_1_length_475860_cov_74.251346	254770	253229
d5apm1	2.a.21	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|tc-db|d5apm1|2.a.21.7.5	22.268	5.92e-11	61.6	79	NODE_1_length_475860_cov_74.251346	22077	20701
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	35.644	1.33e-29	113	85	NODE_2_length_297936_cov_54.711142	84182	84763
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	32.381	6.87e-24	95.9	93	NODE_2_length_297936_cov_54.711142	83346	83975
d5au53	2.a.21	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|tc-db|d5au53|2.a.21.7.4	26.004	7.06e-19	87.0	78	NODE_1_length_475860_cov_74.251346	22077	20737
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	35.242	1.37e-32	122	82	NODE_2_length_297936_cov_54.711142	84989	85651
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	40.496	2.39e-43	154	87	NODE_2_length_297936_cov_54.711142	84182	84901
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	22.523	0.095	30.0	83	NODE_2_length_297936_cov_54.711142	85010	85657
d9rf44	2.a.20	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|d9rf44|2.a.20.1.7	39.159	2.60e-43	155	91	NODE_7_length_90798_cov_54.412892	54146	55072
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	28.462	0.003	32.7	79	NODE_3_length_236490_cov_50.923722	39214	39594
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	43.958	5.97e-93	305	98	NODE_2_length_297936_cov_54.711142	265176	263761
f9vn10	3.d.10	succinate	EX_cpd00036_e0,EX_cpd00036_e0	rxn10138	gnl|tc-db|f9vn10|3.d.10.1.4	35.366	5.34e-89	297	99	NODE_4_length_184267_cov_51.118079	72832	71126
f9vn11	3.d.10	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|f9vn11|3.d.10.1.4	25.097	1.75e-17	79.7	76	NODE_4_length_184267_cov_51.118079	71049	70297
f9vn11	3.d.10	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|f9vn11|3.d.10.1.4	25.097	1.75e-17	79.7	76	NODE_4_length_184267_cov_51.118079	71049	70297
f9vn11	3.d.10	succinate	EX_cpd00036_e0,EX_cpd00036_e0	rxn10138	gnl|tc-db|f9vn11|3.d.10.1.4	25.097	1.75e-17	79.7	76	NODE_4_length_184267_cov_51.118079	71049	70297
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	32.530	4.69e-28	108	99	NODE_2_length_297936_cov_54.711142	70630	69917
gad20700.1	3.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|gad20700.1|3.a.1.103.7	26.446	1.08e-18	81.6	92	NODE_2_length_297936_cov_54.711142	184586	185290
j7jie8	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|j7jie8|2.a.21.2.4	41.000	6.50e-106	342	99	NODE_1_length_475860_cov_74.251346	22041	20545
m1tz79	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|m1tz79|2.a.21.2.5	41.600	1.73e-107	348	96	NODE_1_length_475860_cov_74.251346	22074	20578
m7pf02	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|m7pf02|4.a.2.1.19	45.648	4.12e-105	340	97	NODE_2_length_297936_cov_54.711142	265173	263761
o24896	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|o24896|2.a.21.2.6	41.650	1.76e-106	345	96	NODE_1_length_475860_cov_74.251346	22059	20545
o30085	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|o30085|3.a.3.5.10	33.962	3.18e-86	293	82	NODE_3_length_236490_cov_50.923722	76192	78006
o30142	3.a.1	molybdate		rxn05619,rxn08955	gnl|tc-db|o30142|3.a.1.6.8	22.222	3.71e-07	48.1	87	NODE_5_length_169996_cov_67.907809	27160	27900
o30144	3.a.1	molybdate		rxn05619,rxn08955	gnl|tc-db|o30144|3.a.1.6.8	38.222	2.53e-35	129	95	NODE_5_length_169996_cov_67.907809	29327	30001
o30499	2.a.20	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|o30499|2.a.20.1.4	34.628	4.55e-37	137	90	NODE_7_length_90798_cov_54.412892	54146	55069
o30506	3.a.1	arginine	EX_cpd00051_e0	rxn05154,rxn08151,rxn11236	gnl|tc-db|o30506|3.a.1.3.11	50.407	3.74e-63	209	98	NODE_2_length_297936_cov_54.711142	245214	245918
o30506	3.a.1	ornithine	EX_cpd00064_e0	rxn05156,rxn09046,rxn27636	gnl|tc-db|o30506|3.a.1.3.11	50.407	3.74e-63	209	98	NODE_2_length_297936_cov_54.711142	245214	245918
o32220	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|o32220|3.a.3.5.18	38.295	4.40e-142	460	89	NODE_3_length_236490_cov_50.923722	75760	78015
o34362	3.a.1	thiamine		rxn05177,rxn09297	gnl|tc-db|o34362|3.a.1.30.1	24.096	1.80e-24	104	98	NODE_4_length_184267_cov_51.118079	28465	26864
o34406	3.a.1	glutamine	EX_cpd00053_e0	rxn05155,rxn08624,rxn11101	gnl|tc-db|o34406|3.a.1.3.13	25.652	2.01e-09	54.3	83	NODE_5_length_169996_cov_67.907809	4617	3958
o34852.2	3.a.1	cysteine	EX_cpd00084_e0	rxn05237,rxn08280,rxn08281,rxn30473	gnl|tc-db|o34852.2|3.a.1.3.13	19.651	0.003	35.0	83	NODE_2_length_297936_cov_54.711142	242928	243593
o34900.2	3.a.1	cysteine	EX_cpd00084_e0	rxn05237,rxn08280,rxn08281,rxn30473	gnl|tc-db|o34900.2|3.a.1.3.13	53.556	2.22e-68	225	93	NODE_2_length_297936_cov_54.711142	245211	245918
o34931.2	3.a.1	cysteine	EX_cpd00084_e0	rxn05237,rxn08280,rxn08281,rxn30473	gnl|tc-db|o34931.2|3.a.1.3.13	33.654	2.60e-23	94.4	89	NODE_5_length_169996_cov_67.907809	3684	3109
o34946	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|o34946|3.a.1.15.11	32.599	5.50e-26	102	93	NODE_8_length_82720_cov_50.464068	27947	27294
