id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	32.828	1.63e-59	207	92	NODE_16_length_119589_cov_23.421757	16968	15847
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.429	7.11e-27	105	97	NODE_10_length_146894_cov_25.682435	81737	81216
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	35.506	1.47e-84	286	97	NODE_3_length_234355_cov_23.333676	72219	70549
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	35.506	1.47e-84	286	97	NODE_3_length_234355_cov_23.333676	72219	70549
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	30.667	4.29e-28	111	98	NODE_16_length_119589_cov_23.421757	87982	87116
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	30.667	4.29e-28	111	98	NODE_16_length_119589_cov_23.421757	87982	87116
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	30.667	4.29e-28	111	98	NODE_16_length_119589_cov_23.421757	87982	87116
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	37.054	1.62e-55	198	88	NODE_12_length_143930_cov_26.643407	37722	36421
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	37.054	1.62e-55	198	88	NODE_12_length_143930_cov_26.643407	37722	36421
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.458	1.59e-46	167	81	NODE_30_length_55457_cov_23.261304	38968	38117
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.458	1.59e-46	167	81	NODE_30_length_55457_cov_23.261304	38968	38117
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	37.632	6.14e-68	230	96	NODE_2_length_332221_cov_23.567925	300833	299709
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	37.632	6.14e-68	230	96	NODE_2_length_332221_cov_23.567925	300833	299709
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	35.128	3.49e-65	223	93	NODE_2_length_332221_cov_23.567925	300833	299697
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	35.128	3.49e-65	223	93	NODE_2_length_332221_cov_23.567925	300833	299697
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.787	1.26e-11	65.1	87	NODE_49_length_27136_cov_23.057024	15750	17213
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	28.297	2.56e-06	47.4	81	NODE_3_length_234355_cov_23.333676	147233	148240
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.953	1.70e-28	118	76	NODE_12_length_143930_cov_26.643407	37617	36424
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.786	1.57e-79	275	80	NODE_54_length_21219_cov_24.356400	5200	3614
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.238	1.29e-64	233	88	NODE_1_length_413418_cov_22.941131	216816	219005
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	24.237	8.10e-10	59.3	93	NODE_12_length_143930_cov_26.643407	37785	36427
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	30.000	2.15e-43	162	75	NODE_12_length_143930_cov_26.643407	37578	36415
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	97.956	0.0	1175	100	NODE_75_length_2880_cov_20.684267	586	2787
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	97.956	0.0	1175	100	NODE_75_length_2880_cov_20.684267	586	2787
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.165	8.87e-09	55.8	90	NODE_2_length_332221_cov_23.567925	111546	110119
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	60.768	0.0	715	99	NODE_75_length_2880_cov_20.684267	607	2784
