id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	26.253	3.33e-20	90.1	93	SRYE01000005.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_5_length_227918_cov_1061.89, whole genome shotgun sequence	25195	26358
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.562	2.09e-17	76.6	100	SRYE01000001.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_1_length_761326_cov_1058.45, whole genome shotgun sequence	218873	218316
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	32.803	2.92e-36	135	99	SRYE01000004.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_4_length_280133_cov_1051.92, whole genome shotgun sequence	31938	32879
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.664	1.44e-44	160	78	SRYE01000004.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_4_length_280133_cov_1051.92, whole genome shotgun sequence	58496	57663
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.664	1.44e-44	160	78	SRYE01000004.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_4_length_280133_cov_1051.92, whole genome shotgun sequence	58496	57663
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	33.088	8.62e-48	171	98	SRYE01000005.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_5_length_227918_cov_1061.89, whole genome shotgun sequence	25144	26358
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	33.088	8.62e-48	171	98	SRYE01000005.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_5_length_227918_cov_1061.89, whole genome shotgun sequence	25144	26358
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	35.049	7.79e-45	163	93	SRYE01000005.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_5_length_227918_cov_1061.89, whole genome shotgun sequence	25132	26337
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	35.049	7.79e-45	163	93	SRYE01000005.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_5_length_227918_cov_1061.89, whole genome shotgun sequence	25132	26337
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	25.208	9.51e-20	89.7	93	SRYE01000004.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_4_length_280133_cov_1051.92, whole genome shotgun sequence	1898	3184
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	22.933	7.27e-13	66.6	91	SRYE01000001.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_1_length_761326_cov_1058.45, whole genome shotgun sequence	487033	485921
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	35.855	6.57e-54	187	87	SRYE01000004.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_4_length_280133_cov_1051.92, whole genome shotgun sequence	61458	60562
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	37.521	1.81e-88	300	84	SRYE01000001.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_1_length_761326_cov_1058.45, whole genome shotgun sequence	749590	751323
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.996	6.84e-50	187	88	SRYE01000001.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_1_length_761326_cov_1058.45, whole genome shotgun sequence	663553	665811
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.156	1.53e-11	63.5	94	SRYE01000004.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_4_length_280133_cov_1051.92, whole genome shotgun sequence	1880	3208
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.578	0.0	748	97	SRYE01000001.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_1_length_761326_cov_1058.45, whole genome shotgun sequence	568548	571127
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	30.072	1.19e-24	102	77	SRYE01000003.1 Coriobacteriaceae bacterium strain NM07_P-09 NODE_3_length_289276_cov_1054.94, whole genome shotgun sequence	229513	230313
