id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.241	9.10e-18	79.0	99	NODE_3_length_286381_cov_18.472965	202964	202332
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.921	5.45e-08	53.9	88	NODE_11_length_175573_cov_18.862026	129479	130936
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.921	5.45e-08	53.9	88	NODE_11_length_175573_cov_18.862026	129479	130936
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	21.186	0.001	38.1	78	NODE_34_length_48678_cov_19.296616	46987	47688
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	21.186	0.001	38.1	78	NODE_34_length_48678_cov_19.296616	46987	47688
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	21.186	0.001	38.1	78	NODE_34_length_48678_cov_19.296616	46987	47688
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.535	8.98e-45	162	91	NODE_2_length_314290_cov_21.017634	116897	117871
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.535	8.98e-45	162	91	NODE_2_length_314290_cov_21.017634	116897	117871
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.545	9.14e-20	91.3	94	NODE_1_length_377991_cov_19.862101	280075	281652
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	23.256	4.40e-10	58.9	93	NODE_2_length_314290_cov_21.017634	115812	116759
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.932	5.39e-81	279	81	NODE_7_length_220150_cov_19.496939	43027	41342
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.430	3.13e-45	174	90	NODE_3_length_286381_cov_18.472965	153227	150735
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	23.435	1.21e-19	90.9	90	NODE_1_length_377991_cov_19.862101	280105	281652
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	22.321	1.22e-17	84.0	91	NODE_68_length_9420_cov_21.593135	4438	5682
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	34.066	1.23e-40	150	77	NODE_16_length_126709_cov_21.676178	15121	14351
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	34.066	1.23e-40	150	77	NODE_16_length_126709_cov_21.676178	15121	14351
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	34.066	1.23e-40	150	77	NODE_16_length_126709_cov_21.676178	15121	14351
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	31.020	8.10e-19	84.0	87	NODE_7_length_220150_cov_19.496939	40958	40275
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	50.301	1.01e-97	314	98	NODE_26_length_78034_cov_26.227746	24106	23123
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	36.598	9.10e-26	102	87	NODE_27_length_76534_cov_19.577120	23685	24254
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	36.598	9.10e-26	102	87	NODE_27_length_76534_cov_19.577120	23685	24254
c4mbg1	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|c4mbg1|2.a.5.3.9	19.600	3.8	26.9	78	NODE_7_length_220150_cov_19.496939	40916	40275
c7n0w9	2.a.1	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|c7n0w9|2.a.1.84.2	46.859	2.55e-89	294	87	NODE_12_length_157124_cov_19.414562	91462	90335
