id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.962	1.96e-18	80.1	90	NODE_1_length_274979_cov_33.983831	52280	52825
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.540	8.87e-44	158	79	NODE_7_length_134885_cov_33.126061	127932	127099
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.540	8.87e-44	158	79	NODE_7_length_134885_cov_33.126061	127932	127099
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	45.515	1.08e-67	226	95	NODE_25_length_46458_cov_32.843578	22899	23801
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	36.364	3.08e-39	145	100	NODE_25_length_46458_cov_32.843578	21757	22854
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	57.863	0.0	562	98	NODE_25_length_46458_cov_32.843578	20246	21733
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	36.686	8.43e-23	93.2	76	NODE_9_length_107364_cov_33.944728	2697	2203
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	27.952	3.55e-21	94.7	77	NODE_4_length_185804_cov_33.996904	157750	156533
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	27.952	3.55e-21	94.7	77	NODE_4_length_185804_cov_33.996904	157750	156533
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	25.581	3.21e-23	98.2	97	NODE_10_length_107160_cov_33.617017	66458	65484
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.043	8.90e-84	286	82	NODE_6_length_145762_cov_34.622144	84329	82719
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.803	1.38e-46	177	89	NODE_2_length_193136_cov_33.179329	140021	142216
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	50.730	1.63e-137	445	75	NODE_1_length_274979_cov_33.983831	168479	166980
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	50.730	1.63e-137	445	75	NODE_1_length_274979_cov_33.983831	168479	166980
