id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.238	3.06e-19	82.0	90	NODE_3_length_287758_cov_510.490171	178843	179448
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.783	1.13e-15	77.4	92	NODE_4_length_266613_cov_517.360375	189191	190777
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.783	1.13e-15	77.4	92	NODE_4_length_266613_cov_517.360375	189191	190777
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	29.496	1.00e-22	96.3	78	NODE_4_length_266613_cov_517.360375	85589	86374
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	29.496	1.00e-22	96.3	78	NODE_4_length_266613_cov_517.360375	85589	86374
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	21.241	5.21e-14	71.2	88	NODE_4_length_266613_cov_517.360375	41213	39756
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	28.075	7.44e-31	121	88	NODE_4_length_266613_cov_517.360375	23587	24678
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.602	3.59e-15	71.2	86	NODE_1_length_816679_cov_539.332728	306694	306041
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.429	2.16e-87	296	82	NODE_3_length_287758_cov_510.490171	168577	170217
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.223	9.45e-59	214	86	NODE_3_length_287758_cov_510.490171	198709	196478
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	47.383	1.31e-160	511	99	NODE_5_length_122310_cov_510.707076	20388	18286
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	47.383	1.31e-160	511	99	NODE_5_length_122310_cov_510.707076	20388	18286
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	23.420	6.43e-11	61.6	91	NODE_5_length_122310_cov_510.707076	91840	90296
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	50.562	0.0	568	98	NODE_5_length_122310_cov_510.707076	20373	18292
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	50.562	0.0	568	98	NODE_5_length_122310_cov_510.707076	20373	18292
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.670	3.79e-23	97.4	76	NODE_1_length_816679_cov_539.332728	808013	807246
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.670	3.79e-23	97.4	76	NODE_1_length_816679_cov_539.332728	808013	807246
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.670	3.79e-23	97.4	76	NODE_1_length_816679_cov_539.332728	808013	807246
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.194	0.026	31.6	96	NODE_4_length_266613_cov_517.360375	102440	101712
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	47.801	2.57e-163	517	97	NODE_5_length_122310_cov_510.707076	20376	18268
