id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.146	2.85e-28	107	97	NODE_7_length_89529_cov_142.779412	45109	44531
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	28.125	3.98e-26	104	85	NODE_2_length_329432_cov_143.319849	297411	298172
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	28.125	3.98e-26	104	85	NODE_2_length_329432_cov_143.319849	297411	298172
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	28.125	3.98e-26	104	85	NODE_2_length_329432_cov_143.319849	297411	298172
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.041	4.86e-48	170	80	NODE_1_length_497922_cov_89.664167	41743	42588
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.041	4.86e-48	170	80	NODE_1_length_497922_cov_89.664167	41743	42588
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	24.746	1.88e-22	98.2	94	NODE_2_length_329432_cov_143.319849	10220	8904
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	23.200	2.67e-10	56.6	92	NODE_5_length_144165_cov_117.955125	134974	135690
a3cxc7	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a3cxc7|2.a.49.8.1	24.855	0.009	34.7	77	NODE_13_length_40189_cov_110.422392	1752	784
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.327	1.07e-83	286	83	NODE_3_length_198419_cov_161.656225	71082	72602
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	23.446	6.72e-26	108	94	NODE_5_length_144165_cov_117.955125	133251	134846
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	25.301	3.56e-26	108	84	NODE_1_length_497922_cov_89.664167	5605	6816
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	47.111	0.0	738	99	NODE_11_length_67613_cov_123.569563	23490	20845
