id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.053	1.44e-19	83.6	97	NODE_6_length_204080_cov_46.753979	184359	183802
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	21.978	1.23e-06	47.4	78	NODE_4_length_231191_cov_46.568191	153272	154069
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.560	5.31e-44	159	76	NODE_2_length_266507_cov_42.264966	197339	196545
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.560	5.31e-44	159	76	NODE_2_length_266507_cov_42.264966	197339	196545
a1rz69	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz69|4.a.6.1.24	31.466	1.29e-39	152	84	NODE_3_length_263532_cov_40.910250	236946	235594
a1rz69	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|a1rz69|4.a.6.1.24	31.466	1.29e-39	152	84	NODE_3_length_263532_cov_40.910250	236946	235594
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	65.049	5.35e-116	365	97	NODE_31_length_34746_cov_53.028700	1470	544
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	54.128	5.70e-84	275	88	NODE_31_length_34746_cov_53.028700	2630	1656
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	68.463	0.0	691	99	NODE_31_length_34746_cov_53.028700	4188	2686
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	46.277	4.32e-35	129	79	NODE_20_length_64898_cov_36.243054	2106	1555
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	31.148	2.88e-16	75.5	90	NODE_8_length_113886_cov_42.738676	31389	32096
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	21.780	3.69e-10	60.1	77	NODE_3_length_263532_cov_40.910250	45737	44493
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	21.780	3.69e-10	60.1	77	NODE_3_length_263532_cov_40.910250	45737	44493
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	23.790	1.66e-10	60.8	89	NODE_17_length_71535_cov_37.709242	37278	38489
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	23.790	1.66e-10	60.8	89	NODE_17_length_71535_cov_37.709242	37278	38489
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.731	1.48e-91	310	82	NODE_17_length_71535_cov_37.709242	44305	45933
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.347	1.94e-59	217	96	NODE_32_length_32718_cov_44.538648	226	2628
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	35.695	8.59e-48	171	97	NODE_15_length_75350_cov_39.480079	29848	28757
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	48.303	6.06e-150	472	96	NODE_15_length_75350_cov_39.480079	28554	27055
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.712	0.0	764	99	NODE_6_length_204080_cov_46.753979	84085	81515
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	47.059	1.44e-78	259	78	NODE_2_length_266507_cov_42.264966	145877	145074
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	47.059	1.44e-78	259	78	NODE_2_length_266507_cov_42.264966	145877	145074
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	47.059	1.44e-78	259	78	NODE_2_length_266507_cov_42.264966	145877	145074
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	35.426	5.27e-144	475	84	NODE_7_length_152763_cov_45.376203	71733	74321
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	35.426	5.27e-144	475	84	NODE_7_length_152763_cov_45.376203	71733	74321
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	29.512	1.79e-96	328	95	NODE_32_length_32718_cov_44.538648	265	2661
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	28.329	3.18e-34	134	84	NODE_12_length_86459_cov_40.346646	25645	26760
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	29.032	6.63e-18	80.5	87	NODE_19_length_68431_cov_56.282398	44649	45344
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	50.769	4.09e-97	311	96	NODE_2_length_266507_cov_42.264966	122159	121197
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	32.830	5.28e-99	335	85	NODE_7_length_152763_cov_45.376203	71823	73895
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	32.051	3.87e-37	138	97	NODE_31_length_34746_cov_53.028700	33673	32783
b7gu58	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b7gu58|2.a.28.2.6	35.423	3.98e-52	183	90	NODE_6_length_204080_cov_46.753979	99500	100435
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	36.066	9.66e-28	107	90	NODE_7_length_152763_cov_45.376203	77488	78027
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	36.066	9.66e-28	107	90	NODE_7_length_152763_cov_45.376203	77488	78027
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	26.448	5.79e-23	100	83	NODE_30_length_36892_cov_42.466060	33489	32341
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	26.448	5.79e-23	100	83	NODE_30_length_36892_cov_42.466060	33489	32341
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	26.448	5.79e-23	100	83	NODE_30_length_36892_cov_42.466060	33489	32341
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	26.448	5.79e-23	100	83	NODE_30_length_36892_cov_42.466060	33489	32341
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	47.857	4.61e-39	136	98	NODE_6_length_204080_cov_46.753979	191770	191351
c4ikv8	2.a.16	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|c4ikv8|2.a.16.6.2	23.824	9.55e-13	66.2	97	NODE_6_length_204080_cov_46.753979	103832	102918
c4ikv8	2.a.16	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|c4ikv8|2.a.16.6.2	23.824	9.55e-13	66.2	97	NODE_6_length_204080_cov_46.753979	103832	102918
c4ikv8	2.a.16	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|c4ikv8|2.a.16.6.2	23.824	9.55e-13	66.2	97	NODE_6_length_204080_cov_46.753979	103832	102918
c4ikv8	2.a.16	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|c4ikv8|2.a.16.6.2	23.824	9.55e-13	66.2	97	NODE_6_length_204080_cov_46.753979	103832	102918
c4ikv8	2.a.16	malic acid		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|c4ikv8|2.a.16.6.2	23.824	9.55e-13	66.2	97	NODE_6_length_204080_cov_46.753979	103832	102918
c4st46	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|c4st46|2.a.28.2.9	35.254	1.93e-47	167	95	NODE_6_length_204080_cov_46.753979	99560	100444
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	47.423	1.59e-17	73.6	88	NODE_50_length_11798_cov_57.784575	9242	9532
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	22.565	1.51e-10	60.8	92	NODE_12_length_86459_cov_40.346646	23393	24544
c6pwg8	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|c6pwg8|4.a.7.1.3	31.281	9.03e-58	201	97	NODE_47_length_14409_cov_84.611220	4036	2822
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	43.668	4.13e-54	184	95	NODE_2_length_266507_cov_42.264966	259236	258562
c8u8g2	2.a.3	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|c8u8g2|2.a.3.7.3	54.762	1.19e-152	479	98	NODE_11_length_89757_cov_47.705330	35121	36623
c8x384	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x384|4.a.6.2.2	27.049	1.01e-09	52.4	87	NODE_1_length_311149_cov_39.304399	278137	277772
c8x4s8	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x4s8|4.a.6.2.2	27.835	1.02e-12	64.7	78	NODE_3_length_263532_cov_40.910250	122981	122412
c8x4s8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|c8x4s8|4.a.6.2.2	27.835	1.02e-12	64.7	78	NODE_3_length_263532_cov_40.910250	122981	122412
c9mz78	4.a.5	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c9mz78|4.a.5.1.6	61.538	2.12e-26	98.2	86	NODE_6_length_204080_cov_46.753979	132792	132559
c9mz78	4.a.5	lactose	EX_cpd00208_e0	rxn10865	gnl|tc-db|c9mz78|4.a.5.1.6	61.538	2.12e-26	98.2	86	NODE_6_length_204080_cov_46.753979	132792	132559
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	37.344	2.89e-38	139	94	NODE_6_length_204080_cov_46.753979	40317	39595
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	37.313	3.82e-27	102	93	NODE_3_length_263532_cov_40.910250	100646	100248
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	39.592	6.02e-48	167	99	NODE_2_length_266507_cov_42.264966	259239	258544
d1akk0	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|d1akk0|2.a.40.5.3	25.806	6.25e-15	74.3	97	NODE_4_length_231191_cov_46.568191	212598	213830
d1akk0	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|d1akk0|2.a.40.5.3	25.806	6.25e-15	74.3	97	NODE_4_length_231191_cov_46.568191	212598	213830
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	44.753	4.27e-150	484	81	NODE_2_length_266507_cov_42.264966	5101	3176
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	62.346	8.27e-116	365	98	NODE_1_length_311149_cov_39.304399	161626	160664
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	60.300	3.78e-50	174	99	NODE_1_length_311149_cov_39.304399	160604	159810
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	69.014	2.81e-119	374	93	NODE_1_length_311149_cov_39.304399	159780	158938
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	39.005	3.16e-55	193	95	NODE_6_length_204080_cov_46.753979	22935	21880
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	36.757	4.77e-24	95.5	99	NODE_5_length_209925_cov_43.289267	65648	66202
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	29.577	7.28e-31	119	92	NODE_6_length_204080_cov_46.753979	124140	123298
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	29.889	7.94e-32	123	93	NODE_3_length_263532_cov_40.910250	150716	149904
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	37.344	7.99e-80	273	94	NODE_4_length_231191_cov_46.568191	74885	76276
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	37.344	7.99e-80	273	94	NODE_4_length_231191_cov_46.568191	74885	76276
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	36.364	6.45e-34	126	86	NODE_8_length_113886_cov_42.738676	29697	30329
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	30.570	2.51e-24	98.2	91	NODE_8_length_113886_cov_42.738676	29799	30377
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	36.364	1.25e-38	141	84	NODE_8_length_113886_cov_42.738676	31362	32048
