rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef50_A0A822INL8	30.303	9.61e-08	45.8	85	scaffold00055	2091	2381	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_seq_data	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	NA	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	NA									|12DICHLORETHDEG-PWY|	no_seq_data	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	NA
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	NA	UniRef50_A0A830FE98	22.650	5.46e-06	44.7	84	scaffold00055	2097	2675	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_seq_data	NA	 	NA	0	NA
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA									|14DICHLORBENZDEG-PWY|	no_seq_data	NA	 	NA	0	NA
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase		NA									|14DICHLORBENZDEG-PWY|	no_seq_data	NA	 	NA	0	NA
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	NA
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	NA	UniRef50_Q97VW4	22.697	6.28e-12	63.9	78	scaffold00020	24218	23322	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn04663 rxn06904 rxn07595 rxn15999 rxn16000 rxn16085 rxn16086 rxn20159 	NA	0	NA
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	NA	UniRef50_Q97VW4	22.697	6.28e-12	63.9	78	scaffold00020	24218	23322	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn04663 rxn06904 rxn07595 rxn15999 rxn16000 rxn16085 rxn16086 rxn20159 	NA	0	NA
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	NA									|14DICHLORBENZDEG-PWY|	no_seq_data	NA	rxn03018 rxn03694 	NA	0	NA
RXN-18361	RXN-18361		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4	NA									|1CMET2-PWY|	no_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	NA	0	NA
