id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.612	2.68e-23	94.7	97	NODE_13_length_191585_cov_63.272845	40247	40858
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	20.949	1.7	28.1	77	NODE_11_length_202976_cov_70.182869	78576	79262
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	20.949	1.7	28.1	77	NODE_11_length_202976_cov_70.182869	78576	79262
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	20.949	1.7	28.1	77	NODE_11_length_202976_cov_70.182869	78576	79262
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.395	6.14e-44	159	79	NODE_4_length_388917_cov_62.762175	331647	330814
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.395	6.14e-44	159	79	NODE_4_length_388917_cov_62.762175	331647	330814
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	39.498	3.58e-46	165	97	NODE_5_length_363805_cov_70.301962	336431	337375
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	33.156	5.17e-32	125	99	NODE_5_length_363805_cov_70.301962	335283	336383
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	52.079	3.21e-167	522	99	NODE_5_length_363805_cov_70.301962	333722	335236
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	25.301	2.24e-09	55.5	90	NODE_2_length_645988_cov_67.420697	416232	415522
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.694	1.26e-09	58.9	75	NODE_14_length_149789_cov_60.812213	38368	37097
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.694	1.26e-09	58.9	75	NODE_14_length_149789_cov_60.812213	38368	37097
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.340	1.70e-80	278	77	NODE_4_length_388917_cov_62.762175	193365	194876
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.684	9.78e-64	231	88	NODE_4_length_388917_cov_62.762175	192786	195023
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	43.418	5.17e-132	421	97	NODE_17_length_105034_cov_86.628410	65176	66672
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	31.270	5.49e-35	132	98	NODE_2_length_645988_cov_67.420697	572385	571480
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	29.000	1.44e-27	110	94	NODE_2_length_645988_cov_67.420697	570909	570022
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	30.492	3.06e-31	120	97	NODE_2_length_645988_cov_67.420697	572379	571480
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	29.431	2.89e-28	112	93	NODE_2_length_645988_cov_67.420697	570909	570025
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	32.083	6.40e-70	239	99	NODE_1_length_877430_cov_63.512549	686542	685130
