id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.488	2.93e-23	94.7	99	NODE_5_length_463825_cov_34.765705	63562	62939
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	21.528	1.32e-06	47.8	81	NODE_5_length_463825_cov_34.765705	64483	63626
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	32.039	2.54e-25	104	98	NODE_10_length_268363_cov_38.559250	177115	178038
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	22.314	0.052	32.7	79	NODE_8_length_354789_cov_37.295250	5280	5990
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	22.314	0.052	32.7	79	NODE_8_length_354789_cov_37.295250	5280	5990
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	22.314	0.052	32.7	79	NODE_8_length_354789_cov_37.295250	5280	5990
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.929	2.68e-50	178	77	NODE_12_length_130766_cov_41.446521	39801	40619
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.929	2.68e-50	178	77	NODE_12_length_130766_cov_41.446521	39801	40619
a1rz67	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz67|4.a.6.1.24	33.636	6.66e-04	35.8	80	NODE_7_length_366057_cov_36.436980	100121	100444
a1rz69	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz69|4.a.6.1.24	25.636	4.03e-28	117	85	NODE_1_length_1196280_cov_38.814504	154734	153394
a1rz69	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|a1rz69|4.a.6.1.24	25.636	4.03e-28	117	85	NODE_1_length_1196280_cov_38.814504	154734	153394
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	44.373	2.04e-60	206	97	NODE_2_length_841749_cov_34.106926	761870	760941
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	34.286	1.03e-41	154	87	NODE_3_length_532491_cov_40.594890	353003	352089
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	53.937	2.21e-175	545	99	NODE_2_length_841749_cov_34.106926	764535	763012
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.916	1.68e-17	79.7	90	NODE_3_length_532491_cov_40.594890	119228	118518
