id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.132	1.06e-25	101	99	NODE_2_length_345386_cov_91.686902	159765	160370
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.807	6.75e-14	70.1	81	NODE_10_length_153568_cov_128.014409	110250	111080
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	22.932	0.044	32.7	84	NODE_3_length_337436_cov_124.041125	225512	224745
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	22.932	0.044	32.7	84	NODE_3_length_337436_cov_124.041125	225512	224745
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	22.932	0.044	32.7	84	NODE_3_length_337436_cov_124.041125	225512	224745
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.491	9.63e-45	161	80	NODE_18_length_74442_cov_103.057216	53369	52530
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.491	9.63e-45	161	80	NODE_18_length_74442_cov_103.057216	53369	52530
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	42.574	5.24e-60	204	97	NODE_10_length_153568_cov_128.014409	37611	38510
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	37.888	2.75e-50	178	86	NODE_10_length_153568_cov_128.014409	36499	37425
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	58.517	0.0	583	98	NODE_10_length_153568_cov_128.014409	34964	36460
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	35.593	1.96e-15	72.0	79	NODE_15_length_91517_cov_105.340869	62005	61526
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	35.075	6.92e-65	222	99	NODE_5_length_198591_cov_130.876819	149928	151094
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	32.340	5.16e-20	86.7	87	NODE_13_length_92946_cov_120.285804	74459	73770
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	27.059	2.27e-20	92.8	79	NODE_4_length_282284_cov_96.856831	156411	157661
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	27.059	2.27e-20	92.8	79	NODE_4_length_282284_cov_96.856831	156411	157661
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	18.792	0.004	36.2	83	NODE_2_length_345386_cov_91.686902	210131	209280
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.039	1.70e-94	318	82	NODE_3_length_337436_cov_124.041125	135475	137085
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	27.043	2.09e-62	226	96	NODE_2_length_345386_cov_91.686902	11874	9484
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	54.457	0.0	580	98	NODE_16_length_85674_cov_104.714707	49129	47078
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	54.457	0.0	580	98	NODE_16_length_85674_cov_104.714707	49129	47078
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	35.833	2.58e-54	189	94	NODE_16_length_85674_cov_104.714707	15761	14685
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	49.004	2.41e-148	468	95	NODE_17_length_76833_cov_107.252862	66649	68124
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	67.878	0.0	815	98	NODE_16_length_85674_cov_104.714707	49129	47078
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	67.878	0.0	815	98	NODE_16_length_85674_cov_104.714707	49129	47078
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	65.685	0.0	1092	99	NODE_4_length_282284_cov_96.856831	11362	8759
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	27.778	5.74e-18	82.8	77	NODE_1_length_664193_cov_85.082514	417640	418401
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	27.778	5.74e-18	82.8	77	NODE_1_length_664193_cov_85.082514	417640	418401
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	27.778	5.74e-18	82.8	77	NODE_1_length_664193_cov_85.082514	417640	418401
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	25.431	7.24e-11	58.5	91	NODE_13_length_92946_cov_120.285804	74423	73731
