id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	35.539	7.26e-65	222	92	NODE_1_length_619779_cov_164.058317	513972	512764
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.492	2.06e-21	88.6	92	NODE_2_length_594479_cov_148.674782	379796	380329
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	27.044	4.37e-14	72.8	79	NODE_1_length_619779_cov_164.058317	355370	356695
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	27.044	4.37e-14	72.8	79	NODE_1_length_619779_cov_164.058317	355370	356695
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	30.909	2.95e-26	105	92	NODE_1_length_619779_cov_164.058317	453314	452502
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	30.909	2.95e-26	105	92	NODE_1_length_619779_cov_164.058317	453314	452502
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	30.909	2.95e-26	105	92	NODE_1_length_619779_cov_164.058317	453314	452502
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	36.900	4.01e-62	217	87	NODE_10_length_54364_cov_166.235710	17590	16280
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	36.900	4.01e-62	217	87	NODE_10_length_54364_cov_166.235710	17590	16280
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	31.280	4.84e-39	146	97	NODE_1_length_619779_cov_164.058317	514005	512767
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	31.280	4.84e-39	146	97	NODE_1_length_619779_cov_164.058317	514005	512767
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	28.169	5.75e-37	140	94	NODE_1_length_619779_cov_164.058317	514032	512773
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	28.169	5.75e-37	140	94	NODE_1_length_619779_cov_164.058317	514032	512773
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.970	8.94e-15	74.3	88	NODE_2_length_594479_cov_148.674782	169597	168125
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	26.807	1.82e-31	126	77	NODE_10_length_54364_cov_166.235710	17473	16262
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.397	1.33e-62	224	75	NODE_2_length_594479_cov_148.674782	65202	63736
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.423	1.49e-58	214	87	NODE_2_length_594479_cov_148.674782	65760	63616
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	21.903	9.57e-06	45.4	82	NODE_10_length_54364_cov_166.235710	17482	16277
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	75.474	0.0	887	99	NODE_5_length_253662_cov_156.931621	251173	253371
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	75.474	0.0	887	99	NODE_5_length_253662_cov_156.931621	251173	253371
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.157	1.60e-07	51.2	92	NODE_6_length_253273_cov_171.074235	142237	143808
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	59.728	0.0	718	99	NODE_5_length_253662_cov_156.931621	251182	253368
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	59.728	0.0	718	99	NODE_5_length_253662_cov_156.931621	251182	253368
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	24.121	3.66e-24	106	76	NODE_2_length_594479_cov_148.674782	536420	534780
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	33.066	2.65e-106	359	80	NODE_3_length_383406_cov_168.624286	100999	103137
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	31.020	3.76e-49	179	92	NODE_10_length_54364_cov_166.235710	17602	16262
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	26.446	1.45e-46	171	90	NODE_10_length_54364_cov_166.235710	17602	16259
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	28.600	3.13e-49	179	93	NODE_10_length_54364_cov_166.235710	17665	16262
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	27.049	6.99e-34	134	82	NODE_10_length_54364_cov_166.235710	17647	16262
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	21.245	0.003	37.4	89	NODE_10_length_54364_cov_166.235710	17488	16256
atn93525.1	2.a.19	calcium		rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|tc-db|atn93525.1|2.a.19.4.15	23.625	0.18	30.8	79	NODE_3_length_383406_cov_168.624286	279150	278398
atn93525.1	2.a.19	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|atn93525.1|2.a.19.4.15	23.625	0.18	30.8	79	NODE_3_length_383406_cov_168.624286	279150	278398
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	49.931	2.41e-166	526	95	NODE_5_length_253662_cov_156.931621	251179	253350
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	49.931	2.41e-166	526	95	NODE_5_length_253662_cov_156.931621	251179	253350
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	31.042	2.14e-58	206	95	NODE_3_length_383406_cov_168.624286	196913	198340
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	31.042	2.14e-58	206	95	NODE_3_length_383406_cov_168.624286	196913	198340
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	29.032	1.62e-83	290	91	NODE_2_length_594479_cov_148.674782	65793	63568
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	42.598	3.02e-121	395	99	NODE_5_length_253662_cov_156.931621	251251	253371
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	54.202	3.15e-79	257	88	NODE_3_length_383406_cov_168.624286	280037	279336
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	47.059	3.57e-167	529	99	NODE_5_length_253662_cov_156.931621	251158	253350
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	47.059	3.57e-167	529	99	NODE_5_length_253662_cov_156.931621	251158	253350
b3ecg7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	30.027	1.84e-59	217	85	NODE_5_length_253662_cov_156.931621	251245	253326
b3ee21	2.a.37	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b3ee21|2.a.37.2.5	50.867	0.0	602	93	NODE_2_length_594479_cov_148.674782	550085	552151
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	48.802	9.17e-99	316	99	NODE_4_length_325270_cov_155.685870	107388	108383
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	26.211	1.00e-51	194	82	NODE_3_length_383406_cov_168.624286	101209	103170
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	65.082	0.0	717	99	NODE_5_length_253662_cov_156.931621	251167	253371
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	65.082	0.0	717	99	NODE_5_length_253662_cov_156.931621	251167	253371
