id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.631	1.14e-19	83.6	97	scaffold00036	6425	7084
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	26.237	9.89e-34	134	77	scaffold00007	14107	12803
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	26.237	9.89e-34	134	77	scaffold00007	14107	12803
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	36.604	3.31e-39	143	88	scaffold00009	21435	20644
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	36.604	3.31e-39	143	88	scaffold00009	21435	20644
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	36.604	3.31e-39	143	88	scaffold00009	21435	20644
a0r051	3.d.3	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a0r051|3.d.3.5.5	49.626	1.28e-117	374	93	scaffold00001	282717	281524
a0r051	3.d.3	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a0r051|3.d.3.5.5	49.626	1.28e-117	374	93	scaffold00001	282717	281524
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	45.230	6.24e-51	178	86	scaffold00014	68317	67478
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.429	1.23e-39	146	93	scaffold00003	153536	152721
