id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.804	7.11e-20	84.3	82	NODE_33_length_35719_cov_74.470063	28826	28278
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	32.308	1.12e-40	149	92	NODE_1_length_251458_cov_65.590132	24793	25740
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	32.308	1.12e-40	149	92	NODE_1_length_251458_cov_65.590132	24793	25740
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	38.889	1.70e-53	186	98	NODE_6_length_192296_cov_69.416213	70601	71626
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	33.788	4.43e-34	130	80	NODE_24_length_62978_cov_79.668018	39722	40570
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	52.767	4.82e-167	521	99	NODE_6_length_192296_cov_69.416213	67798	69306
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	30.500	9.68e-44	160	95	NODE_26_length_59069_cov_81.782716	47530	48711
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	31.048	5.29e-20	86.3	89	NODE_2_length_234297_cov_63.114311	134321	133614
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.702	4.48e-80	276	81	NODE_1_length_251458_cov_65.590132	101265	102860
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.958	9.68e-47	178	87	NODE_6_length_192296_cov_69.416213	84055	81812
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	57.938	0.0	596	99	NODE_1_length_251458_cov_65.590132	107852	109945
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	57.938	0.0	596	99	NODE_1_length_251458_cov_65.590132	107852	109945
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	40.784	1.97e-120	387	97	NODE_40_length_25537_cov_82.058366	22467	20971
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	63.972	0.0	750	99	NODE_1_length_251458_cov_65.590132	107870	109945
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	63.972	0.0	750	99	NODE_1_length_251458_cov_65.590132	107870	109945
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	26.984	1.07e-20	92.8	88	NODE_5_length_195270_cov_75.663313	44474	43212
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	46.556	0.0	744	99	NODE_42_length_17602_cov_66.256377	2800	5385
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	36.770	2.70e-54	189	80	NODE_4_length_204643_cov_65.206554	116796	117638
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	36.770	2.70e-54	189	80	NODE_4_length_204643_cov_65.206554	116796	117638
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	36.770	2.70e-54	189	80	NODE_4_length_204643_cov_65.206554	116796	117638
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	27.835	8.78e-08	49.3	82	NODE_2_length_234297_cov_63.114311	134183	133614
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	49.508	2.43e-164	520	97	NODE_1_length_251458_cov_65.590132	107816	109936
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	49.508	2.43e-164	520	97	NODE_1_length_251458_cov_65.590132	107816	109936
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	22.831	8.59e-07	48.9	85	NODE_9_length_125770_cov_69.778675	69783	71027
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	22.831	8.59e-07	48.9	85	NODE_9_length_125770_cov_69.778675	69783	71027
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	32.671	9.19e-133	442	85	NODE_34_length_33228_cov_63.824591	12617	15199
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	32.671	9.19e-133	442	85	NODE_34_length_33228_cov_63.824591	12617	15199
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	30.913	3.07e-29	119	86	NODE_8_length_127281_cov_61.933791	75664	76767
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	43.146	3.01e-124	404	100	NODE_1_length_251458_cov_65.590132	107927	109948
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	38.686	2.03e-54	192	93	NODE_26_length_59069_cov_81.782716	47515	48738
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	42.373	5.50e-52	179	87	NODE_21_length_69070_cov_69.673967	42059	42733
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	49.515	1.55e-163	519	99	NODE_1_length_251458_cov_65.590132	107846	109927
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	49.515	1.55e-163	519	99	NODE_1_length_251458_cov_65.590132	107846	109927
b3ecg7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	29.412	1.37e-54	202	87	NODE_1_length_251458_cov_65.590132	107852	109897
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	45.946	1.16e-94	305	99	NODE_22_length_68362_cov_65.546650	34762	33773
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	31.646	7.70e-83	288	84	NODE_34_length_33228_cov_63.824591	12875	14890
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	23.319	9.42e-17	80.5	98	NODE_5_length_195270_cov_75.663313	44498	43152
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	56.503	1.62e-172	546	99	NODE_1_length_251458_cov_65.590132	107840	109924
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	56.503	1.62e-172	546	99	NODE_1_length_251458_cov_65.590132	107840	109924
b6yqj7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b6yqj7|3.a.10.3.4	30.769	2.75e-56	207	87	NODE_1_length_251458_cov_65.590132	107873	109897
