id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.654	5.25e-16	72.8	97	NODE_5_length_204311_cov_55.435607	25210	25758
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	30.795	1.64e-23	99.0	77	NODE_2_length_345049_cov_88.583819	277765	278664
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	30.795	1.64e-23	99.0	77	NODE_2_length_345049_cov_88.583819	277765	278664
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.556	7.29e-17	80.9	88	NODE_6_length_176974_cov_63.251675	97908	99365
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	24.242	9.80e-12	63.5	76	NODE_5_length_204311_cov_55.435607	156194	157150
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.378	1.65e-13	66.6	85	NODE_6_length_176974_cov_63.251675	40388	39741
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.562	1.48e-70	247	80	NODE_12_length_82145_cov_70.000878	60326	58656
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.036	3.01e-56	207	85	NODE_4_length_207388_cov_62.476780	163192	165375
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	23.704	3.21e-13	69.3	91	NODE_5_length_204311_cov_55.435607	112535	114079
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	22.619	7.54e-28	117	75	NODE_13_length_67604_cov_67.031551	47471	45894
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	27.261	4.47e-80	279	85	NODE_4_length_207388_cov_62.476780	163174	165378
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	35.176	7.07e-44	162	82	NODE_2_length_345049_cov_88.583819	213235	212156
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	31.347	9.85e-20	89.0	84	NODE_11_length_89923_cov_68.806784	26895	28034
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	32.927	7.68e-21	89.0	88	NODE_13_length_67604_cov_67.031551	24944	24267
