id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.962	5.33e-26	102	98	NODE_22_length_86184_cov_31.997432	67304	67930
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	23.566	2.65e-07	51.2	78	NODE_5_length_233007_cov_35.409125	147127	148377
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	23.566	2.65e-07	51.2	78	NODE_5_length_233007_cov_35.409125	147127	148377
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.552	2.97e-46	166	80	NODE_26_length_74679_cov_32.901585	70448	69594
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.552	2.97e-46	166	80	NODE_26_length_74679_cov_32.901585	70448	69594
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	31.447	1.17e-24	102	94	NODE_1_length_365503_cov_35.676706	204356	205261
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	27.832	6.66e-18	83.2	83	NODE_1_length_365503_cov_35.676706	203292	204167
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	42.520	5.37e-129	412	100	NODE_1_length_365503_cov_35.676706	201643	203148
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	31.877	2.27e-58	203	95	NODE_14_length_106448_cov_25.689111	103685	104827
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	25.322	1.98e-13	67.4	85	NODE_2_length_346282_cov_35.435221	68117	68782
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.452	4.92e-89	302	83	NODE_5_length_233007_cov_35.409125	164102	165682
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.670	4.38e-60	218	87	NODE_60_length_3893_cov_23.727828	3609	1378
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	57.729	0.0	626	99	NODE_45_length_27718_cov_34.564278	2370	292
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	57.729	0.0	626	99	NODE_45_length_27718_cov_34.564278	2370	292
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	25.000	3.12e-15	74.7	75	NODE_44_length_29241_cov_28.054888	15247	16113
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	43.307	2.02e-132	422	96	NODE_4_length_234479_cov_29.952401	101205	99706
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	22.197	1.00e-08	55.8	77	NODE_7_length_210848_cov_35.088069	5014	6243
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	73.951	0.0	889	99	NODE_45_length_27718_cov_34.564278	2349	292
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	73.951	0.0	889	99	NODE_45_length_27718_cov_34.564278	2349	292
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	23.169	2.85e-18	87.8	75	NODE_16_length_102615_cov_35.899871	43954	42374
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	49.307	0.0	793	97	NODE_43_length_31414_cov_32.268994	7853	5289
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	44.318	1.11e-70	236	76	NODE_30_length_53786_cov_27.214745	43888	44667
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	44.318	1.11e-70	236	76	NODE_30_length_53786_cov_27.214745	43888	44667
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	44.318	1.11e-70	236	76	NODE_30_length_53786_cov_27.214745	43888	44667
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	28.139	3.79e-11	59.7	91	NODE_2_length_346282_cov_35.435221	68153	68842
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	53.116	0.0	573	98	NODE_45_length_27718_cov_34.564278	2418	319
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	53.116	0.0	573	98	NODE_45_length_27718_cov_34.564278	2418	319
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	38.106	4.31e-78	263	91	NODE_18_length_96062_cov_29.971752	46747	45425
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	38.106	4.31e-78	263	91	NODE_18_length_96062_cov_29.971752	46747	45425
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.415	1.06e-139	463	82	NODE_43_length_31414_cov_32.268994	7850	5340
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.415	1.06e-139	463	82	NODE_43_length_31414_cov_32.268994	7850	5340
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	25.984	5.27e-81	281	87	NODE_60_length_3893_cov_23.727828	3609	1360
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	32.840	1.92e-42	159	83	NODE_37_length_39487_cov_27.894131	20616	21710
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	41.728	4.54e-122	398	99	NODE_45_length_27718_cov_34.564278	2283	295
b1xkd9	2.a.27	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b1xkd9|2.a.27.2.1	31.690	4.10e-43	161	88	NODE_6_length_225558_cov_33.999565	207303	208481
b1xkd9	2.a.27	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b1xkd9|2.a.27.2.1	31.690	4.10e-43	161	88	NODE_6_length_225558_cov_33.999565	207303	208481
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	33.838	1.71e-55	196	93	NODE_14_length_106448_cov_25.689111	103673	104857
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	32.353	1.12e-18	83.2	83	NODE_14_length_106448_cov_25.689111	25681	26334
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	49.646	2.89e-168	533	99	NODE_45_length_27718_cov_34.564278	2364	319
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	49.646	2.89e-168	533	99	NODE_45_length_27718_cov_34.564278	2364	319
b3ecg7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	29.708	1.17e-61	224	89	NODE_45_length_27718_cov_34.564278	2421	337
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	50.602	3.42e-99	318	98	NODE_9_length_153052_cov_30.297878	31333	32316
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	33.960	4.14e-99	336	82	NODE_43_length_31414_cov_32.268994	7640	5685
b4ey22	2.a.15	carnitine	EX_cpd00266_e0	rxn08262,rxn09691,rxn12364,rxn12605,rxn09773,rxn09858	gnl|tc-db|b4ey22|2.a.15.2.2	28.488	1.34e-49	181	97	NODE_2_length_346282_cov_35.435221	310497	308995
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	58.321	0.0	590	97	NODE_45_length_27718_cov_34.564278	2304	292
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	58.321	0.0	590	97	NODE_45_length_27718_cov_34.564278	2304	292
b6yqj7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b6yqj7|3.a.10.3.4	32.312	2.99e-65	235	86	NODE_45_length_27718_cov_34.564278	2325	337
