id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.856	3.90e-26	101	100	NODE_1_length_256184_cov_86.182767	236974	236396
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	30.620	1.53e-27	108	85	NODE_1_length_256184_cov_86.182767	109132	108365
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	30.620	1.53e-27	108	85	NODE_1_length_256184_cov_86.182767	109132	108365
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	30.620	1.53e-27	108	85	NODE_1_length_256184_cov_86.182767	109132	108365
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	33.007	8.62e-40	145	82	NODE_1_length_256184_cov_86.182767	184674	183769
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	33.007	8.62e-40	145	82	NODE_1_length_256184_cov_86.182767	184674	183769
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.388	4.18e-13	68.2	91	NODE_9_length_63401_cov_101.073764	1937	3217
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	24.455	8.26e-09	53.5	92	NODE_5_length_124343_cov_103.854932	60861	62039
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.572	2.01e-14	68.6	91	NODE_1_length_256184_cov_86.182767	115788	115072
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.127	5.65e-84	286	83	NODE_5_length_124343_cov_103.854932	81201	79681
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.059	1.24e-49	186	75	NODE_5_length_124343_cov_103.854932	108064	106340
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.403	1.29e-11	63.2	88	NODE_9_length_63401_cov_101.073764	1937	3211
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	49.333	0.0	766	99	NODE_4_length_133803_cov_80.736319	32099	34747
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	21.782	1.12e-12	66.6	80	NODE_5_length_124343_cov_103.854932	77359	76295
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	24.045	7.14e-15	73.6	84	NODE_5_length_124343_cov_103.854932	77470	76295
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	33.477	1.10e-62	217	94	NODE_4_length_133803_cov_80.736319	50393	49026
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	33.477	1.10e-62	217	94	NODE_4_length_133803_cov_80.736319	50393	49026
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.830	1.47e-145	479	84	NODE_4_length_133803_cov_80.736319	32120	34747
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.830	1.47e-145	479	84	NODE_4_length_133803_cov_80.736319	32120	34747
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	51.385	3.14e-102	325	96	NODE_1_length_256184_cov_86.182767	191787	190825
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	31.169	7.20e-80	278	81	NODE_4_length_133803_cov_80.736319	32351	34333
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	26.543	4.11e-27	107	98	NODE_18_length_3666_cov_98.653943	3327	2356
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	37.500	7.51e-29	109	94	NODE_1_length_256184_cov_86.182767	184626	184087
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	37.500	7.51e-29	109	94	NODE_1_length_256184_cov_86.182767	184626	184087
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	21.709	9.57e-12	63.5	88	NODE_6_length_116612_cov_67.359283	114997	113714
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	21.709	9.57e-12	63.5	88	NODE_6_length_116612_cov_67.359283	114997	113714
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	21.709	9.57e-12	63.5	88	NODE_6_length_116612_cov_67.359283	114997	113714
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	21.709	9.57e-12	63.5	88	NODE_6_length_116612_cov_67.359283	114997	113714
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	25.694	5.72e-10	52.4	96	NODE_1_length_256184_cov_86.182767	240883	240461
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	28.205	1.2	21.6	91	NODE_4_length_133803_cov_80.736319	13989	14105
c4b4v9	2.a.1	l-arabinose		rxn05500,rxn08140,rxn08141	gnl|tc-db|c4b4v9|2.a.1.1.116	21.266	1.74e-10	59.3	80	NODE_5_length_124343_cov_103.854932	77248	76151
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	39.175	8.76e-12	55.8	88	NODE_13_length_40141_cov_89.381564	16768	17058
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	33.755	5.11e-28	107	94	NODE_4_length_133803_cov_80.736319	69558	68860
c8u8g2	2.a.3	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|c8u8g2|2.a.3.7.3	35.532	2.36e-69	238	92	NODE_9_length_63401_cov_101.073764	49571	48165
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	30.000	4.06e-12	61.6	76	NODE_18_length_3666_cov_98.653943	2207	1620
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	29.078	7.04e-18	74.7	100	NODE_18_length_3666_cov_98.653943	3339	2920
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	37.652	1.50e-39	141	98	NODE_4_length_133803_cov_80.736319	69561	68845
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	36.320	9.53e-107	356	79	NODE_5_length_124343_cov_103.854932	81480	79642
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	53.614	6.70e-109	339	98	NODE_18_length_3666_cov_98.653943	3336	2350
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	52.015	1.36e-50	174	98	NODE_18_length_3666_cov_98.653943	2282	1476
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	61.775	5.73e-123	376	93	NODE_18_length_3666_cov_98.653943	1453	584
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	35.068	7.32e-40	147	90	NODE_1_length_256184_cov_86.182767	239983	238919
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	41.139	2.55e-19	80.5	84	NODE_6_length_116612_cov_67.359283	50860	50399
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	22.340	1.42e-19	85.1	92	NODE_1_length_256184_cov_86.182767	182732	181893
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	27.381	8.21e-19	83.6	75	NODE_1_length_256184_cov_86.182767	183589	182855
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	29.175	2.52e-59	211	76	NODE_1_length_256184_cov_86.182767	248625	247165
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	29.175	2.52e-59	211	76	NODE_1_length_256184_cov_86.182767	248625	247165
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	37.156	1.94e-37	135	86	NODE_1_length_256184_cov_86.182767	116641	116003
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	29.592	4.89e-20	84.7	80	NODE_1_length_256184_cov_86.182767	117372	116785
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	35.772	1.59e-37	136	89	NODE_1_length_256184_cov_86.182767	115794	115069
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	32.669	2.40e-38	139	89	NODE_1_length_256184_cov_86.182767	117462	116713
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	23.504	6.01e-04	36.6	87	NODE_1_length_256184_cov_86.182767	115773	115093
d7v7w8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v7w8|1.a.8.2.5	34.361	7.29e-26	101	90	NODE_4_length_133803_cov_80.736319	69555	68893
d7v8e7	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v8e7|1.a.8.2.6	38.739	4.26e-34	125	88	NODE_4_length_133803_cov_80.736319	69558	68893
d7vc84	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vc84|1.a.8.2.8	32.500	2.11e-18	80.1	93	NODE_4_length_133803_cov_80.736319	69558	68866
d7vey8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vey8|1.a.8.2.7	60.956	1.08e-92	294	100	NODE_4_length_133803_cov_80.736319	69579	68827
