id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.750	3.12e-26	109	91	SSTN01000078.1 Bacteroides faecichinchillae strain NM45_B5 NODE_78_length_9958_cov_442.692, whole genome shotgun sequence	3033	4217
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.136	1.63e-23	95.1	87	SSTN01000070.1 Bacteroides faecichinchillae strain NM45_B5 NODE_70_length_12179_cov_690.785, whole genome shotgun sequence	8808	8218
a0l3e7	2.a.51	chromate	EX_cpd11595_e0	rxn05526,rxn13686	gnl|tc-db|a0l3e7|2.a.51.1.4	24.869	3.22e-20	91.7	83	SSTN01000004.1 Bacteroides faecichinchillae strain NM45_B5 NODE_4_length_164573_cov_458.343, whole genome shotgun sequence	66991	67953
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	28.328	2.95e-25	103	98	SSTN01000025.1 Bacteroides faecichinchillae strain NM45_B5 NODE_25_length_68924_cov_409.89, whole genome shotgun sequence	67584	66712
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	28.328	2.95e-25	103	98	SSTN01000025.1 Bacteroides faecichinchillae strain NM45_B5 NODE_25_length_68924_cov_409.89, whole genome shotgun sequence	67584	66712
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	28.328	2.95e-25	103	98	SSTN01000025.1 Bacteroides faecichinchillae strain NM45_B5 NODE_25_length_68924_cov_409.89, whole genome shotgun sequence	67584	66712
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.678	2.26e-44	160	81	SSTN01000078.1 Bacteroides faecichinchillae strain NM45_B5 NODE_78_length_9958_cov_442.692, whole genome shotgun sequence	9664	8816
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.678	2.26e-44	160	81	SSTN01000078.1 Bacteroides faecichinchillae strain NM45_B5 NODE_78_length_9958_cov_442.692, whole genome shotgun sequence	9664	8816
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	32.471	2.31e-54	191	98	SSTN01000076.1 Bacteroides faecichinchillae strain NM45_B5 NODE_76_length_10755_cov_367.755, whole genome shotgun sequence	9192	10454
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	32.471	2.31e-54	191	98	SSTN01000076.1 Bacteroides faecichinchillae strain NM45_B5 NODE_76_length_10755_cov_367.755, whole genome shotgun sequence	9192	10454
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	29.356	6.15e-40	149	93	SSTN01000078.1 Bacteroides faecichinchillae strain NM45_B5 NODE_78_length_9958_cov_442.692, whole genome shotgun sequence	2994	4232
