id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	29.298	1.77e-23	100	88	SRYZ01000020.1 Bacteroides sp. NM69_E16B NODE_20_length_67998_cov_677.192, whole genome shotgun sequence	27640	28755
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.238	2.82e-21	88.6	87	SRYZ01000004.1 Bacteroides sp. NM69_E16B NODE_4_length_171688_cov_922.02, whole genome shotgun sequence	106000	105401
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	34.719	5.43e-52	187	87	SRYZ01000035.1 Bacteroides sp. NM69_E16B NODE_35_length_40122_cov_536.215, whole genome shotgun sequence	37354	38724
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	34.719	5.43e-52	187	87	SRYZ01000035.1 Bacteroides sp. NM69_E16B NODE_35_length_40122_cov_536.215, whole genome shotgun sequence	37354	38724
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.842	1.10e-45	164	83	SRYZ01000006.1 Bacteroides sp. NM69_E16B NODE_6_length_123367_cov_574.52, whole genome shotgun sequence	75574	74690
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.842	1.10e-45	164	83	SRYZ01000006.1 Bacteroides sp. NM69_E16B NODE_6_length_123367_cov_574.52, whole genome shotgun sequence	75574	74690
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	36.387	6.02e-67	227	96	SRYZ01000022.1 Bacteroides sp. NM69_E16B NODE_22_length_61886_cov_608.674, whole genome shotgun sequence	18468	19595
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	36.387	6.02e-67	227	96	SRYZ01000022.1 Bacteroides sp. NM69_E16B NODE_22_length_61886_cov_608.674, whole genome shotgun sequence	18468	19595
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	35.417	2.67e-64	221	92	SRYZ01000022.1 Bacteroides sp. NM69_E16B NODE_22_length_61886_cov_608.674, whole genome shotgun sequence	18468	19595
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	35.417	2.67e-64	221	92	SRYZ01000022.1 Bacteroides sp. NM69_E16B NODE_22_length_61886_cov_608.674, whole genome shotgun sequence	18468	19595
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.162	4.18e-15	75.9	94	SRYZ01000072.1 Bacteroides sp. NM69_E16B NODE_72_length_13676_cov_648.543, whole genome shotgun sequence	1118	2632
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.105	2.21e-78	271	81	SRYZ01000026.1 Bacteroides sp. NM69_E16B NODE_26_length_56722_cov_606.825, whole genome shotgun sequence	15438	13819
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.832	4.60e-59	216	85	SRYZ01000008.1 Bacteroides sp. NM69_E16B NODE_8_length_115239_cov_756.574, whole genome shotgun sequence	42380	40224
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	26.975	6.15e-36	140	91	SRYZ01000035.1 Bacteroides sp. NM69_E16B NODE_35_length_40122_cov_536.215, whole genome shotgun sequence	37279	38754
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	25.175	3.92e-11	62.0	79	SRYZ01000049.1 Bacteroides sp. NM69_E16B NODE_49_length_27592_cov_666.777, whole genome shotgun sequence	10019	9201
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.500	1.80e-17	83.6	86	SRYZ01000007.1 Bacteroides sp. NM69_E16B NODE_7_length_118404_cov_642.865, whole genome shotgun sequence	3946	5325
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	26.316	5.02e-30	121	95	SRYZ01000010.1 Bacteroides sp. NM69_E16B NODE_10_length_109639_cov_787.592, whole genome shotgun sequence	69869	71239
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	22.446	1.68e-20	94.7	75	SRYZ01000004.1 Bacteroides sp. NM69_E16B NODE_4_length_171688_cov_922.02, whole genome shotgun sequence	16936	15323
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	33.732	7.68e-110	370	80	SRYZ01000002.1 Bacteroides sp. NM69_E16B NODE_2_length_228256_cov_822.608, whole genome shotgun sequence	52593	54821
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	29.002	3.90e-45	167	97	SRYZ01000035.1 Bacteroides sp. NM69_E16B NODE_35_length_40122_cov_536.215, whole genome shotgun sequence	37342	38808
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	24.405	6.11e-42	158	90	SRYZ01000035.1 Bacteroides sp. NM69_E16B NODE_35_length_40122_cov_536.215, whole genome shotgun sequence	37342	38745
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	29.456	8.19e-49	179	95	SRYZ01000035.1 Bacteroides sp. NM69_E16B NODE_35_length_40122_cov_536.215, whole genome shotgun sequence	37297	38757
akm77924	2.a.76	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|akm77924|2.a.76.1.12	25.628	1.54e-07	48.5	92	SRYZ01000055.1 Bacteroides sp. NM69_E16B NODE_55_length_25244_cov_642.481, whole genome shotgun sequence	13734	13159
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	25.000	2.90e-26	111	80	SRYZ01000035.1 Bacteroides sp. NM69_E16B NODE_35_length_40122_cov_536.215, whole genome shotgun sequence	37312	38724
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	33.267	4.42e-62	217	97	SRYZ01000007.1 Bacteroides sp. NM69_E16B NODE_7_length_118404_cov_642.865, whole genome shotgun sequence	63804	62353
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	33.267	4.42e-62	217	97	SRYZ01000007.1 Bacteroides sp. NM69_E16B NODE_7_length_118404_cov_642.865, whole genome shotgun sequence	63804	62353
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	27.770	1.18e-83	291	84	SRYZ01000008.1 Bacteroides sp. NM69_E16B NODE_8_length_115239_cov_756.574, whole genome shotgun sequence	42395	40266
b3ee21	2.a.37	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b3ee21|2.a.37.2.5	44.154	3.71e-156	499	88	SRYZ01000002.1 Bacteroides sp. NM69_E16B NODE_2_length_228256_cov_822.608, whole genome shotgun sequence	168443	170365
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	46.866	2.51e-98	315	99	SRYZ01000028.1 Bacteroides sp. NM69_E16B NODE_28_length_49748_cov_725.09, whole genome shotgun sequence	11207	10212
