id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.401	2.91e-20	85.1	97	NODE_4_length_154421_cov_58.000382	27756	28361
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	24.214	1.26e-15	74.7	90	NODE_7_length_109235_cov_63.485104	21559	20660
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	43.131	9.09e-52	180	99	NODE_1_length_244564_cov_51.575663	202053	201127
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.366	2.86e-12	66.2	77	NODE_26_length_22118_cov_58.873191	10840	9536
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.366	2.86e-12	66.2	77	NODE_26_length_22118_cov_58.873191	10840	9536
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.356	1.34e-39	145	80	NODE_18_length_53698_cov_51.336640	6199	5354
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.356	1.34e-39	145	80	NODE_18_length_53698_cov_51.336640	6199	5354
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	62.893	3.29e-112	354	100	NODE_6_length_121726_cov_51.356123	14999	14046
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	58.075	4.13e-100	321	88	NODE_6_length_121726_cov_51.356123	16063	15104
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	74.052	0.0	751	99	NODE_6_length_121726_cov_51.356123	17582	16080
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	50.923	4.11e-111	355	94	NODE_11_length_77840_cov_53.629785	64891	66027
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	43.750	4.73e-24	95.1	76	NODE_7_length_109235_cov_63.485104	16947	16528
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.423	8.29e-18	79.3	90	NODE_16_length_66581_cov_65.923117	17224	16511
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	28.522	1.34e-27	110	82	NODE_5_length_137685_cov_76.871069	41596	40763
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.130	1.20e-85	291	78	NODE_12_length_75728_cov_64.673990	49420	47891
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	27.673	8.02e-52	193	75	NODE_12_length_75728_cov_64.673990	49693	47864
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	26.722	5.36e-30	118	89	NODE_17_length_59943_cov_65.525858	13577	12495
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	49.515	2.36e-153	481	97	NODE_17_length_59943_cov_65.525858	12304	10772
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	22.976	2.19e-15	75.9	92	NODE_3_length_191330_cov_52.231515	23239	24522
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.040	0.0	712	99	NODE_3_length_191330_cov_52.231515	81082	83709
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	48.188	8.73e-81	265	79	NODE_23_length_30558_cov_51.320790	22338	21523
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	48.188	8.73e-81	265	79	NODE_23_length_30558_cov_51.320790	22338	21523
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	48.188	8.73e-81	265	79	NODE_23_length_30558_cov_51.320790	22338	21523
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.419	7.08e-12	60.8	98	NODE_16_length_66581_cov_65.923117	17194	16457
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	24.824	1.74e-06	47.4	82	NODE_19_length_40545_cov_49.541144	1693	2745
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.860	3.30e-130	434	83	NODE_3_length_191330_cov_52.231515	81136	83709
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.860	3.30e-130	434	83	NODE_3_length_191330_cov_52.231515	81136	83709
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	38.601	3.29e-41	153	90	NODE_11_length_77840_cov_53.629785	64897	66045
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	30.242	2.47e-22	93.2	87	NODE_1_length_244564_cov_51.575663	15670	16371
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	48.318	1.20e-93	301	96	NODE_10_length_85672_cov_58.800129	69926	70894
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	31.667	1.06e-85	296	84	NODE_3_length_191330_cov_52.231515	81301	83331
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	22.482	1.34e-11	63.5	85	NODE_3_length_191330_cov_52.231515	23281	24474
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	26.667	2.01e-25	103	98	NODE_2_length_201319_cov_56.653850	68826	67867
b4ey22	2.a.15	carnitine	EX_cpd00266_e0	rxn08262,rxn09691,rxn12364,rxn12605,rxn09773,rxn09858	gnl|tc-db|b4ey22|2.a.15.2.2	31.841	7.43e-42	157	75	NODE_6_length_121726_cov_51.356123	98829	97675
b7gu58	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b7gu58|2.a.28.2.6	34.416	1.02e-44	161	87	NODE_4_length_154421_cov_58.000382	142845	141967
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	38.000	1.28e-24	97.8	100	NODE_1_length_244564_cov_51.575663	127912	128490
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	38.000	1.28e-24	97.8	100	NODE_1_length_244564_cov_51.575663	127912	128490
bf638r_1718	2.a.1	n-acetylneuraminate		rxn05487,rxn08050	foo|unknown|bf638r_1718|2.a.1.12.1	21.690	0.17	30.4	83	NODE_19_length_40545_cov_49.541144	1873	2871
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	50.714	5.34e-44	150	96	NODE_1_length_244564_cov_51.575663	124548	124967
c4st46	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|c4st46|2.a.28.2.9	38.652	5.18e-57	194	92	NODE_4_length_154421_cov_58.000382	142812	141967
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	37.634	3.24e-11	55.1	85	NODE_2_length_201319_cov_56.653850	191839	192117
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	21.958	1.75e-08	53.5	83	NODE_19_length_40545_cov_49.541144	1762	2790
c6cww0	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|c6cww0|2.a.28.2.5	26.217	2.40e-04	39.3	86	NODE_4_length_154421_cov_58.000382	142743	141973
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	31.868	1.33e-24	98.6	95	NODE_22_length_35026_cov_56.599073	9451	10263
c8x384	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x384|4.a.6.2.2	31.496	1.45e-05	40.0	90	NODE_9_length_87842_cov_57.883165	32787	33158
c9mz78	4.a.5	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c9mz78|4.a.5.1.6	55.128	1.26e-23	89.7	86	NODE_8_length_105061_cov_64.314115	31580	31813
c9mz78	4.a.5	lactose	EX_cpd00208_e0	rxn10865	gnl|tc-db|c9mz78|4.a.5.1.6	55.128	1.26e-23	89.7	86	NODE_8_length_105061_cov_64.314115	31580	31813
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	31.624	2.73e-22	92.4	87	NODE_8_length_105061_cov_64.314115	58113	58814
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	33.333	4.62e-20	81.6	94	NODE_2_length_201319_cov_56.653850	68835	68431
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	31.786	1.52e-31	119	98	NODE_22_length_35026_cov_56.599073	9451	10284
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	35.793	3.59e-106	355	79	NODE_12_length_75728_cov_64.673990	49708	47867
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	77.273	1.23e-164	505	100	NODE_2_length_201319_cov_56.653850	68841	67852
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	60.662	1.53e-59	200	99	NODE_2_length_201319_cov_56.653850	67780	66977
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	68.078	4.01e-134	416	100	NODE_2_length_201319_cov_56.653850	66957	66046
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	37.288	3.77e-52	184	90	NODE_9_length_87842_cov_57.883165	79371	80381
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	30.818	2.00e-11	58.5	85	NODE_2_length_201319_cov_56.653850	78869	79342
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	36.594	2.28e-46	164	90	NODE_32_length_8025_cov_51.588497	5636	6460
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	38.976	2.70e-49	173	75	NODE_32_length_8025_cov_51.588497	4769	5527
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	31.568	1.06e-67	236	75	NODE_13_length_75165_cov_53.606475	61984	63363
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	31.568	1.06e-67	236	75	NODE_13_length_75165_cov_53.606475	61984	63363
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	37.037	3.98e-36	132	84	NODE_16_length_66581_cov_65.923117	18068	17436
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	30.769	3.28e-24	97.4	81	NODE_16_length_66581_cov_65.923117	18787	18203
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	35.874	8.07e-38	138	81	NODE_16_length_66581_cov_65.923117	17227	16565
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	35.842	9.72e-44	155	97	NODE_16_length_66581_cov_65.923117	18080	17250
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	24.107	2.56e-06	44.7	84	NODE_16_length_66581_cov_65.923117	17215	16559
d7v8e7	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v8e7|1.a.8.2.6	34.351	2.53e-35	129	90	NODE_22_length_35026_cov_56.599073	9448	10233
d7vey8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vey8|1.a.8.2.7	44.074	3.12e-63	210	90	NODE_22_length_35026_cov_56.599073	9430	10221
e0wf79	2.a.3	histidine	EX_cpd00119_e0	rxn05299,rxn08719,rxn09744,rxn13314,rxn34384	gnl|tc-db|e0wf79|2.a.3.2.9	22.678	0.008	35.4	75	NODE_8_length_105061_cov_64.314115	83050	84090
e1uci0	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci0|4.a.6.1.15	58.769	8.88e-114	358	98	NODE_2_length_201319_cov_56.653850	68835	67861
e1uci1	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci1|4.a.6.1.15	69.650	1.12e-53	183	96	NODE_2_length_201319_cov_56.653850	67741	66977
e1uci1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci1|4.a.6.1.15	69.650	1.12e-53	183	96	NODE_2_length_201319_cov_56.653850	67741	66977
e1uci2	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci2|4.a.6.1.15	67.399	1.37e-119	374	90	NODE_2_length_201319_cov_56.653850	66948	66130
e1uci2	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci2|4.a.6.1.15	67.399	1.37e-119	374	90	NODE_2_length_201319_cov_56.653850	66948	66130
esq71096.1	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|esq71096.1|4.a.7.1.6	42.484	8.76e-33	118	98	NODE_15_length_69262_cov_62.283356	32201	31761
f8g8a9	2.a.118	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|f8g8a9|2.a.118.1.5	25.502	1.30e-30	122	98	NODE_16_length_66581_cov_65.923117	32779	34257
f8g8a9	2.a.118	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|f8g8a9|2.a.118.1.5	25.502	1.30e-30	122	98	NODE_16_length_66581_cov_65.923117	32779	34257
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	32.867	1.25e-20	83.6	99	NODE_4_length_154421_cov_58.000382	104497	104925
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	43.093	2.56e-97	317	98	NODE_13_length_75165_cov_53.606475	47174	48619
f9lxw4	2.a.87	thiamine		rxn09657	gnl|tc-db|f9lxw4|2.a.87.2.3	63.441	9.83e-55	183	99	NODE_1_length_244564_cov_51.575663	232570	233127
f9ust3	2.a.14	l-lactic acid		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|uniref90|f9ust3|2.a.14.1.3	31.868	1.33e-24	98.6	95	NODE_22_length_35026_cov_56.599073	9451	10263
f9z4g3	2.a.118	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|f9z4g3|2.a.118.1.3	28.820	2.36e-54	195	95	NODE_16_length_66581_cov_65.923117	32797	34203
f9z4g3	2.a.118	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|f9z4g3|2.a.118.1.3	28.820	2.36e-54	195	95	NODE_16_length_66581_cov_65.923117	32797	34203
f9z4g3	2.a.118	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|f9z4g3|2.a.118.1.3	28.820	2.36e-54	195	95	NODE_16_length_66581_cov_65.923117	32797	34203
f9z4g3	2.a.118	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|f9z4g3|2.a.118.1.3	28.820	2.36e-54	195	95	NODE_16_length_66581_cov_65.923117	32797	34203
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	27.615	6.92e-23	93.6	99	NODE_14_length_74551_cov_60.885168	1506	823
g8rd42	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8rd42|2.a.38.4.6	28.833	1.96e-31	124	94	NODE_2_length_201319_cov_56.653850	32356	31064
g8v089	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8v089|2.a.38.4.6	34.659	5.10e-35	127	80	NODE_2_length_201319_cov_56.653850	31021	30494
g8v0i4	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g8v0i4|3.a.1.5.33	25.107	1.56e-15	76.6	81	NODE_15_length_69262_cov_62.283356	64991	63666
gad20700.1	3.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|gad20700.1|3.a.1.103.7	24.719	1.71e-17	78.6	98	NODE_13_length_75165_cov_53.606475	17851	18636
h1xum6	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|h1xum6|4.a.6.1.20	24.242	0.30	26.9	76	NODE_21_length_35692_cov_59.510178	17583	17870
i4g6g7	3.a.3	magnesium		rxn08924,rxn10571	gnl|tc-db|i4g6g7|3.a.3.4.5	27.848	3.39e-77	273	83	NODE_3_length_191330_cov_52.231515	81100	83379
j0hub5	2.a.37	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|j0hub5|2.a.37.1.9	22.427	1.05e-09	57.0	89	NODE_22_length_35026_cov_56.599073	5874	6923
k1m2k1	2.a.3	serine	EX_cpd00054_e0	rxn05307,rxn09246,rxn09247,rxn09714,rxn10185,rxn34404,rxn34405,rxn34530	gnl|tc-db|k1m2k1|2.a.3.8.28	24.599	4.67e-19	86.7	85	NODE_4_length_154421_cov_58.000382	127428	126307
k1m2k1	2.a.3	threonine	EX_cpd00161_e0,EX_cpd00161_e0	rxn05300,rxn09304,rxn09305,rxn09306,rxn09710,rxn10186,rxn12456,rxn13747,rxn34409,rxn34410,rxn34535	gnl|tc-db|k1m2k1|2.a.3.8.28	24.599	4.67e-19	86.7	85	NODE_4_length_154421_cov_58.000382	127428	126307
k7wl41	2.a.3	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|k7wl41|2.a.3.1.19	34.607	8.00e-76	256	97	NODE_26_length_22118_cov_58.873191	16063	14711
l0sav1	2.a.118	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|l0sav1|2.a.118.1.6	64.213	0.0	566	96	NODE_16_length_66581_cov_65.923117	32770	34203
l0sav1	2.a.118	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|l0sav1|2.a.118.1.6	64.213	0.0	566	96	NODE_16_length_66581_cov_65.923117	32770	34203
l0sav1	2.a.118	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|l0sav1|2.a.118.1.6	64.213	0.0	566	96	NODE_16_length_66581_cov_65.923117	32770	34203
l0sav1	2.a.118	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|l0sav1|2.a.118.1.6	64.213	0.0	566	96	NODE_16_length_66581_cov_65.923117	32770	34203
