id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.717	1.89e-24	97.8	98	NODE_6_length_198189_cov_67.092539	96490	97116
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	24.104	8.01e-12	63.5	83	NODE_3_length_214632_cov_72.066673	19578	18706
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	36.190	1.65e-24	101	99	NODE_12_length_101641_cov_72.900181	94373	93444
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	21.154	1.52e-06	48.1	75	NODE_58_length_7758_cov_66.972269	6888	5644
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	21.154	1.52e-06	48.1	75	NODE_58_length_7758_cov_66.972269	6888	5644
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	33.677	2.25e-45	161	94	NODE_2_length_243855_cov_72.990684	46884	46015
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	33.677	2.25e-45	161	94	NODE_2_length_243855_cov_72.990684	46884	46015
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	33.677	2.25e-45	161	94	NODE_2_length_243855_cov_72.990684	46884	46015
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.213	1.26e-48	172	80	NODE_17_length_80100_cov_65.334079	74038	74901
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.213	1.26e-48	172	80	NODE_17_length_80100_cov_65.334079	74038	74901
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	24.706	4.05e-04	39.7	80	NODE_6_length_198189_cov_67.092539	162313	161363
