id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.808	3.88e-19	81.6	99	NODE_2_length_360683_cov_196.207703	258005	258619
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	35.495	8.92e-29	112	95	NODE_3_length_243565_cov_121.063564	226259	225387
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	35.495	8.92e-29	112	95	NODE_3_length_243565_cov_121.063564	226259	225387
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	35.495	8.92e-29	112	95	NODE_3_length_243565_cov_121.063564	226259	225387
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.385	6.64e-40	146	88	NODE_2_length_360683_cov_196.207703	29723	28797
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.385	6.64e-40	146	88	NODE_2_length_360683_cov_196.207703	29723	28797
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	36.111	3.99e-84	281	97	NODE_2_length_360683_cov_196.207703	124126	122621
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	23.892	3.04e-20	89.7	96	NODE_8_length_78845_cov_184.084146	43201	44364
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	23.223	1.34e-04	40.8	77	NODE_5_length_146185_cov_74.808094	22700	21489
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	23.223	1.34e-04	40.8	77	NODE_5_length_146185_cov_74.808094	22700	21489
