id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.000	4.91e-25	99.4	99	scaffold00002	247311	246730
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	24.398	3.84e-15	73.9	92	scaffold00001	327473	326544
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	44.482	2.76e-50	176	95	scaffold00004	151055	151948
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	21.691	4.68e-04	38.5	87	scaffold00001	652067	652855
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	21.691	4.68e-04	38.5	87	scaffold00001	652067	652855
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	21.691	4.68e-04	38.5	87	scaffold00001	652067	652855
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	31.250	4.34e-40	147	99	scaffold00005	114501	113449
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	31.250	4.34e-40	147	99	scaffold00005	114501	113449
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	35.597	4.11e-86	287	95	scaffold00001	538354	536924
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	29.847	3.70e-42	155	96	scaffold00007	109542	110699
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	31.915	3.88e-17	77.8	87	scaffold00010	18182	18871
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	27.791	2.12e-21	95.9	78	scaffold00002	80672	81910
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	27.791	2.12e-21	95.9	78	scaffold00002	80672	81910
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	23.434	1.08e-06	48.5	89	scaffold00004	29566	30783
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	23.434	1.08e-06	48.5	89	scaffold00004	29566	30783
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.043	1.77e-88	300	83	scaffold00010	113256	114860
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.806	1.12e-59	218	87	scaffold00001	323534	321366
a5khl1	2.a.61	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|a5khl1|2.a.61.1.4	29.263	1.46e-33	132	94	scaffold00006	142857	141634
a5khl1	2.a.61	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|a5khl1|2.a.61.1.4	29.263	1.46e-33	132	94	scaffold00006	142857	141634
a5khl1	2.a.61	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|a5khl1|2.a.61.1.4	29.263	1.46e-33	132	94	scaffold00006	142857	141634
a5khl1	2.a.61	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|a5khl1|2.a.61.1.4	29.263	1.46e-33	132	94	scaffold00006	142857	141634
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	48.352	1.27e-143	463	99	scaffold00009	127934	125946
