id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	32.195	5.56e-26	102	93	NODE_3_length_110551_cov_15.522082	79452	80054
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.569	9.63e-12	63.5	82	NODE_3_length_110551_cov_15.522082	81110	81937
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.443	7.64e-45	162	84	NODE_56_length_29895_cov_15.209001	4216	3293
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.443	7.64e-45	162	84	NODE_56_length_29895_cov_15.209001	4216	3293
a1rz67	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz67|4.a.6.1.24	25.893	0.007	32.7	84	NODE_9_length_92826_cov_19.386053	60354	60683
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	65.696	1.23e-116	367	97	NODE_9_length_92826_cov_19.386053	72794	73720
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	49.046	3.22e-79	262	100	NODE_9_length_92826_cov_19.386053	71640	72734
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	67.197	0.0	684	99	NODE_9_length_92826_cov_19.386053	70097	71605
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	49.468	8.45e-39	139	79	NODE_11_length_84780_cov_18.600829	39787	39236
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.458	2.84e-19	84.3	90	NODE_5_length_107536_cov_18.261002	61498	60785
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.316	1.18e-17	84.3	77	NODE_21_length_66276_cov_14.563573	64841	66079
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.316	1.18e-17	84.3	77	NODE_21_length_66276_cov_14.563573	64841	66079
a3cxc7	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a3cxc7|2.a.49.8.1	25.676	5.45e-04	39.7	83	NODE_81_length_14952_cov_18.141042	2462	3520
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.079	8.14e-89	301	84	NODE_35_length_51004_cov_13.707464	23352	21739
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.627	5.30e-63	228	88	NODE_15_length_73598_cov_16.623618	32597	30462
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	37.037	3.68e-97	320	92	NODE_5_length_107536_cov_18.261002	55228	53795
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	42.060	2.76e-59	201	92	NODE_69_length_19835_cov_17.400395	8096	7404
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	35.106	1.16e-42	153	94	NODE_69_length_19835_cov_17.400395	8093	7260
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	37.102	8.07e-58	197	95	NODE_69_length_19835_cov_17.400395	8096	7260
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	34.752	1.30e-42	153	94	NODE_69_length_19835_cov_17.400395	8093	7260
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	27.511	1.09e-30	124	95	NODE_8_length_92867_cov_16.139196	38627	37308
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.879	0.0	753	99	NODE_79_length_17104_cov_18.024373	7063	4442
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	49.265	2.12e-83	273	78	NODE_31_length_53294_cov_18.427044	24995	24192
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	49.265	2.12e-83	273	78	NODE_31_length_53294_cov_18.427044	24995	24192
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	49.265	2.12e-83	273	78	NODE_31_length_53294_cov_18.427044	24995	24192
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	35.126	5.25e-142	469	85	NODE_79_length_17104_cov_18.024373	7072	4442
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	35.126	5.25e-142	469	85	NODE_79_length_17104_cov_18.024373	7072	4442
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	31.837	6.15e-98	333	87	NODE_15_length_73598_cov_16.623618	32570	30435
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	25.304	1.79e-12	67.4	83	NODE_21_length_66276_cov_14.563573	32776	33915
b1pxd0	2.a.39	cytosine		rxn05527,rxn08266,rxn12428	gnl|tc-db|b1pxd0|2.a.39.2.4	22.018	5.24e-07	49.7	81	NODE_2_length_124313_cov_17.114677	89496	90665
b1pxd0	2.a.39	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn05497	gnl|tc-db|b1pxd0|2.a.39.2.4	22.018	5.24e-07	49.7	81	NODE_2_length_124313_cov_17.114677	89496	90665
b1pxd0	2.a.39	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn05471	gnl|tc-db|b1pxd0|2.a.39.2.4	22.018	5.24e-07	49.7	81	NODE_2_length_124313_cov_17.114677	89496	90665
b1pxd0	2.a.39	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn29869	gnl|tc-db|b1pxd0|2.a.39.2.4	22.018	5.24e-07	49.7	81	NODE_2_length_124313_cov_17.114677	89496	90665
b1pxd0	2.a.39	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn38756	gnl|tc-db|b1pxd0|2.a.39.2.4	22.018	5.24e-07	49.7	81	NODE_2_length_124313_cov_17.114677	89496	90665
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	29.960	9.43e-20	86.3	87	NODE_118_length_5194_cov_17.279265	4365	5060
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	50.462	3.39e-96	309	96	NODE_103_length_8186_cov_14.803675	4742	3780
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	32.644	1.15e-90	311	79	NODE_43_length_40220_cov_15.494059	10191	12107
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	27.217	4.27e-25	103	99	NODE_64_length_24414_cov_16.212023	9029	8076
b4ey22	2.a.15	carnitine	EX_cpd00266_e0	rxn08262,rxn09691,rxn12364,rxn12605,rxn09773,rxn09858	gnl|tc-db|b4ey22|2.a.15.2.2	29.157	4.77e-48	176	84	NODE_57_length_29832_cov_16.190422	21810	23087
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	32.124	2.51e-24	97.8	89	NODE_50_length_33180_cov_18.255928	28867	28301
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	32.124	2.51e-24	97.8	89	NODE_50_length_33180_cov_18.255928	28867	28301
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	25.450	7.81e-18	84.3	81	NODE_73_length_18796_cov_16.960949	2185	3315
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	25.450	7.81e-18	84.3	81	NODE_73_length_18796_cov_16.960949	2185	3315
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	25.450	7.81e-18	84.3	81	NODE_73_length_18796_cov_16.960949	2185	3315
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	25.450	7.81e-18	84.3	81	NODE_73_length_18796_cov_16.960949	2185	3315
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	53.521	1.17e-43	150	97	NODE_64_length_24414_cov_16.212023	1691	1266
c4ikv8	2.a.16	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|c4ikv8|2.a.16.6.2	24.159	1.23e-13	68.9	99	NODE_110_length_6182_cov_14.631613	4134	3193
c4ikv8	2.a.16	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|c4ikv8|2.a.16.6.2	24.159	1.23e-13	68.9	99	NODE_110_length_6182_cov_14.631613	4134	3193
c4ikv8	2.a.16	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|c4ikv8|2.a.16.6.2	24.159	1.23e-13	68.9	99	NODE_110_length_6182_cov_14.631613	4134	3193
c4ikv8	2.a.16	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|c4ikv8|2.a.16.6.2	24.159	1.23e-13	68.9	99	NODE_110_length_6182_cov_14.631613	4134	3193
c4ikv8	2.a.16	malic acid		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|c4ikv8|2.a.16.6.2	24.159	1.23e-13	68.9	99	NODE_110_length_6182_cov_14.631613	4134	3193
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	43.011	2.37e-16	70.5	84	NODE_57_length_29832_cov_16.190422	6606	6884
c6pwg8	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|c6pwg8|4.a.7.1.3	31.553	4.85e-57	199	99	NODE_8_length_92867_cov_16.139196	89897	88665
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	38.793	3.09e-47	164	96	NODE_47_length_36109_cov_15.202015	6868	7551
c8u8g2	2.a.3	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|c8u8g2|2.a.3.7.3	41.121	9.22e-78	263	83	NODE_67_length_21481_cov_18.843394	14729	13452
c8x384	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x384|4.a.6.2.2	37.008	5.14e-16	70.9	90	NODE_24_length_62836_cov_17.480473	35221	34850
c8x4s8	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x4s8|4.a.6.2.2	22.816	3.81e-08	50.8	82	NODE_17_length_70724_cov_17.365182	31169	31771
c8x4s8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|c8x4s8|4.a.6.2.2	22.816	3.81e-08	50.8	82	NODE_17_length_70724_cov_17.365182	31169	31771
c9mz78	4.a.5	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c9mz78|4.a.5.1.6	48.810	1.18e-18	76.3	85	NODE_20_length_67330_cov_15.909759	62260	62009
c9mz78	4.a.5	lactose	EX_cpd00208_e0	rxn10865	gnl|tc-db|c9mz78|4.a.5.1.6	48.810	1.18e-18	76.3	85	NODE_20_length_67330_cov_15.909759	62260	62009
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	67.068	5.72e-91	290	98	NODE_37_length_49579_cov_17.734314	42243	42989
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	52.985	6.43e-44	150	95	NODE_37_length_49579_cov_17.734314	41289	41690
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	45.306	1.35e-58	197	99	NODE_47_length_36109_cov_15.202015	6874	7569
d1akk0	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|d1akk0|2.a.40.5.3	25.629	2.61e-17	82.0	97	NODE_21_length_66276_cov_14.563573	64871	66103
d1akk0	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|d1akk0|2.a.40.5.3	25.629	2.61e-17	82.0	97	NODE_21_length_66276_cov_14.563573	64871	66103
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	43.963	6.44e-146	472	82	NODE_15_length_73598_cov_16.623618	30191	28266
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	62.654	1.42e-119	376	98	NODE_64_length_24414_cov_16.212023	9038	8076
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	56.343	3.74e-60	203	98	NODE_64_length_24414_cov_16.212023	8009	7218
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	66.549	2.67e-117	369	93	NODE_64_length_24414_cov_16.212023	7187	6345
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	38.542	2.90e-56	196	98	NODE_2_length_124313_cov_17.114677	42383	41301
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	39.766	3.33e-23	93.2	91	NODE_54_length_30325_cov_14.191285	14613	15122
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	27.046	4.87e-19	85.1	90	NODE_34_length_51663_cov_18.129027	47719	48546
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	33.501	1.69e-77	266	94	NODE_11_length_84780_cov_18.600829	30947	32644
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	33.501	1.69e-77	266	94	NODE_11_length_84780_cov_18.600829	30947	32644
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	35.909	5.00e-36	133	86	NODE_5_length_107536_cov_18.261002	63193	62561
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	30.942	3.12e-27	107	97	NODE_5_length_107536_cov_18.261002	63181	62513
d5auz9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d5auz9|3.a.1.23.8	59.624	9.71e-68	223	96	NODE_25_length_60194_cov_14.670875	41528	42166
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	37.500	6.47e-42	150	90	NODE_5_length_107536_cov_18.261002	61516	60785
