id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.500	1.99e-22	92.0	94	NODE_40_length_31470_cov_6.226271	25180	24593
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.077	3.08e-12	65.1	81	NODE_75_length_19702_cov_4.533691	4251	3400
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	35.612	2.11e-24	100	91	NODE_1_length_103332_cov_7.301700	96172	97002
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	35.612	2.11e-24	100	91	NODE_1_length_103332_cov_7.301700	96172	97002
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	35.612	2.11e-24	100	91	NODE_1_length_103332_cov_7.301700	96172	97002
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	53.105	7.74e-105	341	93	NODE_45_length_29972_cov_7.083230	7988	6591
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	53.105	7.74e-105	341	93	NODE_45_length_29972_cov_7.083230	7988	6591
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	43.866	4.39e-34	129	82	NODE_74_length_19717_cov_6.615773	14486	15292
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	33.115	2.52e-34	131	83	NODE_25_length_40875_cov_9.491582	29048	28152
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	33.115	2.52e-34	131	83	NODE_25_length_40875_cov_9.491582	29048	28152
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	37.621	8.48e-37	137	95	NODE_152_length_9287_cov_5.056878	5870	6751
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	49.301	2.05e-149	470	99	NODE_152_length_9287_cov_5.056878	2533	4029
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.179	9.43e-11	62.0	78	NODE_64_length_22362_cov_8.471374	1539	292
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.179	9.43e-11	62.0	78	NODE_64_length_22362_cov_8.471374	1539	292
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.017	1.66e-27	115	76	NODE_45_length_29972_cov_7.083230	7826	6612
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.964	2.06e-72	253	80	NODE_51_length_27570_cov_6.209744	12230	13762
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.611	2.63e-45	174	75	NODE_97_length_16695_cov_4.182339	1834	3705
