id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.946	3.71e-16	73.2	95	NODE_2_length_150292_cov_330.075798	141857	141303
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	23.602	2.06e-05	44.3	77	NODE_12_length_72380_cov_324.134697	28557	27280
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	23.602	2.06e-05	44.3	77	NODE_12_length_72380_cov_324.134697	28557	27280
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	35.254	1.02e-32	124	98	NODE_10_length_80587_cov_311.416681	43635	42757
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	35.254	1.02e-32	124	98	NODE_10_length_80587_cov_311.416681	43635	42757
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	35.254	1.02e-32	124	98	NODE_10_length_80587_cov_311.416681	43635	42757
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	31.399	1.36e-22	95.1	91	NODE_41_length_12608_cov_536.042614	4587	3760
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	38.956	2.23e-103	337	98	NODE_41_length_12608_cov_536.042614	7180	5720
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	23.047	4.16e-05	42.7	91	NODE_9_length_82782_cov_538.300611	33974	32694
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	23.047	4.16e-05	42.7	91	NODE_9_length_82782_cov_538.300611	33974	32694
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	35.932	1.72e-46	166	85	NODE_32_length_26667_cov_537.135088	395	1252
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.842	2.67e-98	328	83	NODE_4_length_127248_cov_282.450582	123156	124802
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.102	5.17e-49	184	85	NODE_3_length_143915_cov_287.413722	34185	36332
a5khl1	2.a.61	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|a5khl1|2.a.61.1.4	35.862	2.16e-55	196	93	NODE_46_length_9611_cov_536.162786	7922	6687
a5khl1	2.a.61	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|a5khl1|2.a.61.1.4	35.862	2.16e-55	196	93	NODE_46_length_9611_cov_536.162786	7922	6687
a5khl1	2.a.61	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|a5khl1|2.a.61.1.4	35.862	2.16e-55	196	93	NODE_46_length_9611_cov_536.162786	7922	6687
a5khl1	2.a.61	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|a5khl1|2.a.61.1.4	35.862	2.16e-55	196	93	NODE_46_length_9611_cov_536.162786	7922	6687
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	31.154	3.91e-65	226	95	NODE_41_length_12608_cov_536.042614	7180	5720
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.043	3.15e-17	79.7	86	NODE_9_length_82782_cov_538.300611	15320	14529
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.043	3.15e-17	79.7	86	NODE_9_length_82782_cov_538.300611	15320	14529
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.043	3.15e-17	79.7	86	NODE_9_length_82782_cov_538.300611	15320	14529
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	22.876	1.33e-10	60.5	91	NODE_3_length_143915_cov_287.413722	93606	94835
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	22.660	3.45e-07	49.7	79	NODE_3_length_143915_cov_287.413722	93603	94676
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	21.197	7.94e-09	55.1	75	NODE_3_length_143915_cov_287.413722	93603	94574
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	30.687	2.73e-49	178	95	NODE_33_length_24567_cov_537.097387	757	2130
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	30.687	2.73e-49	178	95	NODE_33_length_24567_cov_537.097387	757	2130
b0s9u4	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b0s9u4|2.a.21.8.3	32.766	2.57e-54	192	99	NODE_12_length_72380_cov_324.134697	28557	27148
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	27.222	5.95e-74	261	83	NODE_3_length_143915_cov_287.413722	34215	36332
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	29.298	1.24e-29	120	83	NODE_4_length_127248_cov_282.450582	103120	104205
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	29.719	6.41e-20	85.9	88	NODE_10_length_80587_cov_311.416681	38125	37451
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	49.080	3.32e-99	317	97	NODE_34_length_24393_cov_335.175646	4000	4977
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	34.000	7.19e-28	107	90	NODE_32_length_26667_cov_537.135088	3074	3664
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	34.000	7.19e-28	107	90	NODE_32_length_26667_cov_537.135088	3074	3664
b8f5k7	4.d.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|b8f5k7|4.d.1.3.2	34.711	4.02e-45	158	96	NODE_3_length_143915_cov_287.413722	47166	46456
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	28.767	7.97e-06	40.8	97	NODE_1_length_204588_cov_336.198126	103698	103273
