id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.889	1.68e-20	86.7	99	NODE_20_length_100335_cov_15.131411	53230	52694
658118072	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118072|3.a.1.15.16	24.167	1.51e-06	46.6	87	NODE_7_length_173709_cov_13.348691	92468	93160
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	24.752	8.52e-13	67.0	86	NODE_20_length_100335_cov_15.131411	51750	50899
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	27.413	5.90e-15	73.2	81	NODE_4_length_233380_cov_17.117174	130312	131088
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	36.486	1.63e-34	130	97	NODE_34_length_41514_cov_14.076188	37516	38397
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	36.486	1.63e-34	130	97	NODE_34_length_41514_cov_14.076188	37516	38397
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	36.486	1.63e-34	130	97	NODE_34_length_41514_cov_14.076188	37516	38397
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	32.802	2.63e-41	156	87	NODE_14_length_115299_cov_15.336255	12516	13766
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	32.802	2.63e-41	156	87	NODE_14_length_115299_cov_15.336255	12516	13766
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	44.043	4.42e-47	167	86	NODE_50_length_21469_cov_14.640613	1879	2709
