id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.806	6.68e-22	89.7	96	NODE_2_length_164072_cov_46.749108	18464	17850
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.028	3.15e-11	60.8	81	NODE_2_length_164072_cov_46.749108	16807	15983
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.567	1.59e-43	157	81	NODE_3_length_152879_cov_41.936316	54778	55629
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.567	1.59e-43	157	81	NODE_3_length_152879_cov_41.936316	54778	55629
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	62.893	2.11e-113	357	100	NODE_3_length_152879_cov_41.936316	109410	110363
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	57.667	6.46e-87	283	82	NODE_3_length_152879_cov_41.936316	108415	109305
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	75.889	0.0	778	100	NODE_3_length_152879_cov_41.936316	106821	108338
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	51.629	3.19e-121	384	98	NODE_14_length_66205_cov_40.718274	61209	60016
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.923	8.53e-17	76.3	87	NODE_9_length_85176_cov_52.937837	49727	49044
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.494	1.36e-17	82.8	91	NODE_6_length_93897_cov_42.520987	84165	82705
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.494	1.36e-17	82.8	91	NODE_6_length_93897_cov_42.520987	84165	82705
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.962	7.10e-82	280	77	NODE_23_length_28492_cov_47.613584	10228	8711
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	37.782	2.83e-96	317	92	NODE_3_length_152879_cov_41.936316	106830	108266
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.045	0.0	711	99	NODE_1_length_176179_cov_45.772331	44682	42052
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	32.542	2.74e-40	147	84	NODE_7_length_87934_cov_44.826684	32535	33356
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	32.542	2.74e-40	147	84	NODE_7_length_87934_cov_44.826684	32535	33356
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	32.542	2.74e-40	147	84	NODE_7_length_87934_cov_44.826684	32535	33356
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.083	4.71e-134	445	87	NODE_1_length_176179_cov_45.772331	44739	42052
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.083	4.71e-134	445	87	NODE_1_length_176179_cov_45.772331	44739	42052
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	25.917	4.25e-13	68.2	87	NODE_4_length_121620_cov_44.701990	4445	5608
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	36.548	9.88e-44	160	91	NODE_14_length_66205_cov_40.718274	61149	59977
