id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.500	3.60e-19	81.6	99	scf7180000000002|quiver_dupTrim=10609	1007331	1007924
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.344	2.52e-08	53.5	89	scf7180000000002|quiver_dupTrim=10609	990595	989111
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.344	2.52e-08	53.5	89	scf7180000000002|quiver_dupTrim=10609	990595	989111
a0q2f5	2.a.25	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a0q2f5|2.a.25.1.8	22.016	2.59e-07	49.7	80	scf7180000000002|quiver_dupTrim=10609	1176039	1174948
a0q2f5	2.a.25	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0q2f5|2.a.25.1.8	22.016	2.59e-07	49.7	80	scf7180000000002|quiver_dupTrim=10609	1176039	1174948
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.542	2.42e-45	162	79	scf7180000000002|quiver_dupTrim=10609	1092842	1092006
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.542	2.42e-45	162	79	scf7180000000002|quiver_dupTrim=10609	1092842	1092006
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	31.781	7.99e-67	231	96	scf7180000000002|quiver_dupTrim=10609	2218948	2220405
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.801	5.43e-15	70.9	87	scf7180000000002|quiver_dupTrim=10609	2008700	2009380
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.214	2.36e-83	285	84	scf7180000000002|quiver_dupTrim=10609	2002949	2004538
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.643	2.91e-47	179	89	scf7180000000002|quiver_dupTrim=10609	934870	932615
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	48.011	7.86e-159	506	99	scf7180000000002|quiver_dupTrim=10609	384333	386327
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	48.011	7.86e-159	506	99	scf7180000000002|quiver_dupTrim=10609	384333	386327
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	30.279	5.58e-70	240	95	scf7180000000002|quiver_dupTrim=10609	2218954	2220438
