id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.771	3.54e-21	87.8	86	NODE_46_length_15662_cov_133.788643	14284	14832
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.282	7.01e-10	58.5	90	NODE_28_length_24091_cov_134.676189	5980	7455
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.282	7.01e-10	58.5	90	NODE_28_length_24091_cov_134.676189	5980	7455
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	30.958	6.03e-42	157	88	NODE_10_length_64413_cov_117.369840	21763	23046
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	30.958	6.03e-42	157	88	NODE_10_length_64413_cov_117.369840	21763	23046
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.832	1.01e-46	166	80	NODE_48_length_14293_cov_152.547060	10705	9866
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.832	1.01e-46	166	80	NODE_48_length_14293_cov_152.547060	10705	9866
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	27.122	2.79e-25	107	93	NODE_3_length_123272_cov_81.385892	81513	80173
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.458	1.49e-16	75.5	90	NODE_4_length_107836_cov_107.189219	32023	31310
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	31.605	7.03e-39	149	76	NODE_10_length_64413_cov_117.369840	21868	23040
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.313	8.93e-85	289	78	NODE_10_length_64413_cov_117.369840	52243	53778
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.932	8.64e-55	202	86	NODE_8_length_68866_cov_118.814287	9161	11317
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	24.954	1.20e-29	120	93	NODE_11_length_59447_cov_160.063887	49256	47706
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	26.596	1.87e-42	158	93	NODE_23_length_28071_cov_85.806637	18508	19866
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	45.903	0.0	723	99	NODE_13_length_49899_cov_109.367809	32615	35236
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	45.070	6.42e-76	251	82	NODE_18_length_36358_cov_99.647777	35692	34853
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	45.070	6.42e-76	251	82	NODE_18_length_36358_cov_99.647777	35692	34853
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	45.070	6.42e-76	251	82	NODE_18_length_36358_cov_99.647777	35692	34853
