id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.167	1.08e-18	81.6	99	NODE_1_length_344054_cov_137.963963	253290	252658
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.836	6.47e-08	53.5	88	NODE_18_length_129763_cov_136.349714	66258	64789
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.836	6.47e-08	53.5	88	NODE_18_length_129763_cov_136.349714	66258	64789
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	33.628	1.59e-41	152	95	NODE_1_length_344054_cov_137.963963	253293	252307
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	33.628	1.59e-41	152	95	NODE_1_length_344054_cov_137.963963	253293	252307
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.822	2.43e-19	89.7	94	NODE_1_length_344054_cov_137.963963	86805	88451
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.000	4.92e-13	69.7	77	NODE_17_length_139020_cov_139.440166	78230	79534
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.000	4.92e-13	69.7	77	NODE_17_length_139020_cov_139.440166	78230	79534
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.445	1.28e-77	269	82	NODE_3_length_285480_cov_137.981079	149314	151014
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	30.508	1.34e-66	230	98	NODE_14_length_147227_cov_135.447305	101904	103301
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	47.091	0.0	740	96	NODE_1_length_344054_cov_137.963963	111071	113776
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.455	1.26e-23	100	78	NODE_5_length_214488_cov_139.449814	196939	197721
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.455	1.26e-23	100	78	NODE_5_length_214488_cov_139.449814	196939	197721
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.455	1.26e-23	100	78	NODE_5_length_214488_cov_139.449814	196939	197721
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	21.851	6.96e-04	40.0	76	NODE_12_length_161869_cov_136.424335	53362	54453
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	21.851	6.96e-04	40.0	76	NODE_12_length_161869_cov_136.424335	53362	54453
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	32.200	4.04e-117	397	83	NODE_1_length_344054_cov_137.963963	111050	113749
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	32.200	4.04e-117	397	83	NODE_1_length_344054_cov_137.963963	111050	113749
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	29.482	9.27e-19	83.6	88	NODE_21_length_117701_cov_134.624107	40877	41587
