id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	34.336	2.98e-55	192	92	NODE_780_length_2241_cov_48.451750	1762	641
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.429	1.01e-26	104	80	NODE_537_length_2961_cov_75.607269	1316	1837
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	33.333	5.71e-58	206	77	NODE_588_length_2813_cov_56.789650	2004	742
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	33.333	5.71e-58	206	77	NODE_588_length_2813_cov_56.789650	2004	742
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.793	1.86e-46	166	81	NODE_32_length_9709_cov_64.354623	2115	2966
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.793	1.86e-46	166	81	NODE_32_length_9709_cov_64.354623	2115	2966
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	36.911	8.48e-67	227	96	NODE_6_length_14634_cov_56.828014	1249	2373
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	36.911	8.48e-67	227	96	NODE_6_length_14634_cov_56.828014	1249	2373
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	34.015	2.76e-63	218	93	NODE_6_length_14634_cov_56.828014	1249	2388
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	34.015	2.76e-63	218	93	NODE_6_length_14634_cov_56.828014	1249	2388
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	25.873	1.12e-35	139	96	NODE_182_length_5381_cov_46.345261	3485	2112
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.005	7.47e-20	90.9	77	NODE_253_length_4579_cov_57.060647	2756	1506
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.005	7.47e-20	90.9	77	NODE_253_length_4579_cov_57.060647	2756	1506
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.413	4.03e-87	283	77	NODE_931_length_1928_cov_101.931705	23	1555
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.784	1.36e-63	230	87	NODE_1_length_19100_cov_18.425658	694	2841
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	23.684	5.31e-07	49.7	82	NODE_377_length_3701_cov_59.201735	1753	2937
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	100.000	0.0	1216	100	NODE_98_length_6918_cov_66.827271	5405	3204
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	100.000	0.0	1216	100	NODE_98_length_6918_cov_66.827271	5405	3204
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	25.205	8.24e-33	131	92	NODE_182_length_5381_cov_46.345261	3485	2127
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	44.747	3.33e-63	213	87	NODE_33_length_9702_cov_58.984230	3516	2752
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	36.014	1.47e-45	162	94	NODE_33_length_9702_cov_58.984230	3513	2680
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	40.845	4.96e-67	224	95	NODE_33_length_9702_cov_58.984230	3516	2671
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	35.357	4.60e-45	160	97	NODE_33_length_9702_cov_58.984230	3513	2695
