id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	28.261	5.89e-27	110	93	NODE_3_length_232018_cov_320.193243	189393	190547
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	24.510	4.85e-18	78.6	90	NODE_11_length_59976_cov_352.653901	12119	11529
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	33.500	1.66e-47	170	97	NODE_3_length_232018_cov_320.193243	189342	190529
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	33.500	1.66e-47	170	97	NODE_3_length_232018_cov_320.193243	189342	190529
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	33.659	3.27e-47	170	93	NODE_3_length_232018_cov_320.193243	189330	190526
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	33.659	3.27e-47	170	93	NODE_3_length_232018_cov_320.193243	189330	190526
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	37.460	1.91e-51	179	99	NODE_2_length_258664_cov_316.585474	215098	216015
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	34.161	1.73e-34	131	86	NODE_2_length_258664_cov_316.585474	213998	214897
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	46.108	4.08e-137	434	98	NODE_2_length_258664_cov_316.585474	212446	213942
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.869	2.41e-12	62.8	90	NODE_2_length_258664_cov_316.585474	163542	162823
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	36.391	6.19e-55	190	93	NODE_1_length_503004_cov_301.399308	149118	148174
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.615	2.69e-78	270	83	NODE_3_length_232018_cov_320.193243	153205	154857
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.202	7.79e-49	184	86	NODE_3_length_232018_cov_320.193243	65522	67720
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	36.008	3.55e-82	276	92	NODE_2_length_258664_cov_316.585474	212446	213882
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.513	0.0	752	96	NODE_8_length_118995_cov_330.284986	21369	18805
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	32.584	2.60e-27	109	75	NODE_9_length_113037_cov_330.596618	42998	43756
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	32.584	2.60e-27	109	75	NODE_9_length_113037_cov_330.596618	42998	43756
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	32.584	2.60e-27	109	75	NODE_9_length_113037_cov_330.596618	42998	43756
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	21.909	1.36e-19	89.7	80	NODE_7_length_119810_cov_312.952077	21308	22546
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.863	5.64e-146	480	85	NODE_8_length_118995_cov_330.284986	21381	18739
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.863	5.64e-146	480	85	NODE_8_length_118995_cov_330.284986	21381	18739
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	26.536	4.33e-13	67.8	82	NODE_4_length_223392_cov_341.650494	182437	181379
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	34.711	3.04e-19	84.0	86	NODE_9_length_113037_cov_330.596618	94681	95340
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	49.401	1.46e-91	295	98	NODE_6_length_127340_cov_311.269324	99993	100985
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	30.891	1.43e-80	280	79	NODE_8_length_118995_cov_330.284986	21072	19165
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	27.331	3.15e-25	102	95	NODE_1_length_503004_cov_301.399308	376089	375166
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	34.171	1.72e-20	85.9	96	NODE_2_length_258664_cov_316.585474	192665	192078
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	34.171	1.72e-20	85.9	96	NODE_2_length_258664_cov_316.585474	192665	192078
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	23.559	2.05e-17	82.0	82	NODE_9_length_113037_cov_330.596618	86364	85189
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	23.559	2.05e-17	82.0	82	NODE_9_length_113037_cov_330.596618	86364	85189
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	23.559	2.05e-17	82.0	82	NODE_9_length_113037_cov_330.596618	86364	85189
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	23.559	2.05e-17	82.0	82	NODE_9_length_113037_cov_330.596618	86364	85189
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	23.077	2.26e-07	45.1	96	NODE_5_length_201290_cov_355.013985	82525	82941
c4ikv8	2.a.16	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|c4ikv8|2.a.16.6.2	23.308	9.84e-10	55.8	84	NODE_2_length_258664_cov_316.585474	77977	78762
c4ikv8	2.a.16	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|c4ikv8|2.a.16.6.2	23.308	9.84e-10	55.8	84	NODE_2_length_258664_cov_316.585474	77977	78762
c4ikv8	2.a.16	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|c4ikv8|2.a.16.6.2	23.308	9.84e-10	55.8	84	NODE_2_length_258664_cov_316.585474	77977	78762
c4ikv8	2.a.16	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|c4ikv8|2.a.16.6.2	23.308	9.84e-10	55.8	84	NODE_2_length_258664_cov_316.585474	77977	78762
c4ikv8	2.a.16	malic acid		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|c4ikv8|2.a.16.6.2	23.308	9.84e-10	55.8	84	NODE_2_length_258664_cov_316.585474	77977	78762
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	48.315	4.81e-21	82.8	84	NODE_6_length_127340_cov_311.269324	31053	31319
c6cww0	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|c6cww0|2.a.28.2.5	28.713	5.73e-26	104	99	NODE_3_length_232018_cov_320.193243	105884	106792
c6pwg8	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|c6pwg8|4.a.7.1.3	30.310	8.47e-48	171	95	NODE_5_length_201290_cov_355.013985	83116	84363
c8u8g2	2.a.3	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|c8u8g2|2.a.3.7.3	26.682	7.80e-30	120	85	NODE_3_length_232018_cov_320.193243	130663	131979
c9mz78	4.a.5	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c9mz78|4.a.5.1.6	60.256	3.35e-27	99.8	86	NODE_5_length_201290_cov_355.013985	29353	29586
c9mz78	4.a.5	lactose	EX_cpd00208_e0	rxn10865	gnl|tc-db|c9mz78|4.a.5.1.6	60.256	3.35e-27	99.8	86	NODE_5_length_201290_cov_355.013985	29353	29586
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	31.633	8.37e-15	70.1	77	NODE_8_length_118995_cov_330.284986	62797	62213
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	30.216	2.99e-17	73.6	97	NODE_1_length_503004_cov_301.399308	376101	375691
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	54.407	9.66e-106	335	99	NODE_1_length_503004_cov_301.399308	376098	375124
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	54.745	1.19e-45	160	99	NODE_1_length_503004_cov_301.399308	375071	374271
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	53.918	1.08e-99	317	93	NODE_1_length_503004_cov_301.399308	374234	373287
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	34.314	3.78e-42	154	77	NODE_1_length_503004_cov_301.399308	441087	440224
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	29.213	2.57e-08	48.9	98	NODE_2_length_258664_cov_316.585474	165787	165281
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	37.607	1.79e-76	262	76	NODE_6_length_127340_cov_311.269324	26212	27612
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	37.607	1.79e-76	262	76	NODE_6_length_127340_cov_311.269324	26212	27612
